,source_id,EPIC,ra,dec,G,G_err,bp,bp_err,rp,rp_err,parallax,parallax_err,[RSP2011],HIP,RAJ2000,DEJ2000,2MASS,Kpmag,Mass,Bin,Ap,lc,IPer,IPw,I99.9,Q,mPer,use,K2Per,K2Pw,Amp,Ng,Bl,Lit,Binary,RA_deg,DE_deg,prot
0,38354680725946240,210359769,58.75658414086355,12.485542172745534,9.766113,0.0003,10.363303,0.002,9.067604,0.002,21.72182299425588,0.04078364057133296,   94,18322,03 55 01.3,+12 29 08.2,03550142+1229081,9.76,    0.63,0,3.5,det,22.1036,0.0502,0.0111,2,N,corr,          ,          ,0.016071000000000002,Y,M,0,,58.75541666666666,12.48561111111111,0.0
1,38329666836450304,210365286,59.56042372775033,12.627970698425889,15.111156,0.002,17.014067,0.2,13.799521,0.01,21.94614820383863,0.10251905075692777,  104,     ,03 58 14.3,+12 37 40.8,03581434+1237408,14.1,    0.17,0,5.0,det,0.8686,0.2837,0.0096,0,N,corr,    0.8686,    0.3102,0.0028255,Y,Y,0,,59.55958333333333,12.628,0.8686
2,3304478125929665152,210371851,62.77738074084248,12.796658123009877,16.54054,0.002,18.953999,0.2,15.11915,0.01,23.04142845292586,0.12735972293840772,     ,     ,04 11 06.4,+12 47 48.2,04110642+1247481,14.92,    0.14,0,5.0,raw,37.592,0.1587,0.0089,1,Y,sec ,    0.8968,    0.1551,0.00655,N,N,0,,62.776666666666664,12.796722222222222,0.8968
3,38453464973610496,210384590,59.649610021738916,13.104995034978229,8.840317,0.0003,9.214348,0.002,8.341402,0.002,16.299941353266533,0.05037039680314023,  106,     ,03 58 35.8,+13 06 18.1,03583581+1306182,9.17,    1.17,1,5.0,det,22.4337,0.0813,0.0103,2,N,corr,          ,          ,0.050151999999999995,Y,N,0,N,59.64916666666666,13.105027777777778,0.0
7,3311464182294287104,210451321,64.48199616948583,14.546191599164752,13.771758,0.002,15.280359,0.01,12.565312,0.002,19.063231502443852,0.0738104395210779,  210,     ,04 17 55.5,+14 32 46.5,04175555+1432464,13.86,    0.30,0,4.0,det,10.1182,0.7765,0.0085,0,N,corr,   10.1182,    0.8654,0.0095905,Y,N,0,,64.48124999999999,14.54625,10.1182
8,3311102820926310784,210459199,65.39668022047789,14.69515656171164,14.314161,0.002,15.956227,0.01,13.073628,0.01,20.28981925143624,0.07632174988677534,  247,     ,04 21 35.0,+14 41 42.8,04213508+1441427,14.43,    0.22,0,3.0,det,3.6419,0.0549,0.0104,0,N,corr,    3.6375,    0.4464,0.019108,Y,M,0,,65.39583333333331,14.695222222222222,3.6375
9,3311906770084019712,210470484,64.36772711736377,14.90098569965624,13.276046,0.002,14.70091,0.01,12.105038,0.002,20.192264884167965,0.05278972737384675,  203,     ,04 17 28.1,+14 54 03.8,04172811+1454038,13.33,    0.36,0,2.0,det,2.3883,0.1287,0.0096,1,N,corr,    2.3788,    0.4353,0.010794,Y,Y,0,,64.36708333333333,14.901055555555557,2.3788
10,3311934086075988864,210489127,64.46559686579155,15.227066463357511,14.246441,0.002,15.88909,0.01,13.003492,0.01,21.00398356796783,0.06439491917846847,  209,     ,04 17 51.6,+15 13 37.7,04175160+1513378,14.35,    0.25,0,3.5,det,3.6463,0.4932,0.0086,0,N,corr,    3.6508,    0.6701,0.005407,Y,N,0,,64.46499999999999,15.22713888888889,3.6508
15,3312197934506930944,210517837,63.89090542824412,15.706167134953644,10.431786,0.0003,11.190613,0.002,9.615364,0.002,21.94141648546758,0.0689663457992422,  186,19862,04 15 33.6,+15 42 22.7,04153367+1542226,10.46,    0.65,2,5.0,raw,39.5726,0.3406,0.0096,2,N,corr,          ,          ,0.002006,N,N,0,,63.88999999999999,15.706305555555554,0.0
17,44052178182130816,210563410,55.51916283028222,16.421655118460734,14.872567,0.002,16.72378,0.01,13.567423,0.01,23.380591334351095,0.10148037320232266,   75,     ,03 42 04.4,+16 25 18.3,03420441+1625183,15.13,    0.18,0,2.0,det,21.4717,0.096,0.0083,2,N,corr,          ,          ,0.1586375,Y,Y,0,,55.51833333333333,16.421750000000003,0.0
