,source_id,EPIC,ra,dec,G,G_err,bp,rp,parallax,parallax_err,Name,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,Kpmag,PrCat,PCat,All,2M,Simbad,_RA,_DE,prot
87,660918127380096640,211887839,130.87918545932192,18.548468363697236,13.455736,0.00028938230444735906,14.224557,12.606825,5.912273548963401,0.12929680000847585,JS536  ,0.74,13.47,10.74,12.90, 0.5200,0,Y, 0.00839,       ,       , ,N,Y,N,    , 0.01104, 0.44001,K,13.45,1,2,All,2M,Simbad,130.879382,18.548525,12.9
90,662291383044141824,211889082,127.48762905116146,18.566636558843108,14.674445,0.000815776585819955,15.808014,13.610744,5.691986319779176,0.1089878253890161,AD 1296,0.6,15.0,11.3,12.37, 0.5341,0,Y, 0.00779, 1.8731, 0.1045,0,Y,N,N,cand, 0.02988, 1.08477,2,14.69,1,2,All,2M,Simbad,127.48776399999998,18.566675,12.37
91,659661213791017600,211889983,129.19613422802414,18.579647962608007,12.50592,0.0003209700350906921,13.010677,11.868098,4.991071970808011,0.05214789915432435,JS147  ,0.8,12.45,10.59, 9.54, 0.2069,0,Y, 0.00798, 5.0246, 0.1757,1,M,Y,N,    , 0.00539, 0.14465,K,12.49,1,2,All,2M,Simbad,129.19628600000001,18.579684,9.54
94,659477217391773696,211890216,130.23029939722815,18.58300954661629,13.927447,0.00041502927570593695,14.757279,13.043008,5.313190779986883,0.03507072481139172,JS398  ,0.62,13.97,11.13,12.57, 0.7626,0,Y, 0.00882,       ,       , ,N,Y,Y,    , 0.01431, 0.71374,D,13.91,2,2,All,2M,Simbad,130.230459,18.583064,12.57
96,660928259206807808,211890774,130.6334026432762,18.591062301602424,15.129478,0.00042243363966495187,16.267454,14.064975,5.447009541920613,0.0447837852254544,JS488  ,0.53,15.51,11.79, 9.42, 0.2428,0,Y, 0.00750,       ,       , ,N,N,N,    , 0.00673, 0.27355,2,15.16,0,2,All,2M,Simbad,130.633602,18.591136,9.42
100,660939258619177984,211891359,131.15040160310713,18.59914477512126,13.747875,0.0006802056274121687,14.728133,12.767019,5.429704456885368,0.02688657294809803,JS571  ,0.78,13.89,10.65,12.84, 0.7207,0,Y, 0.00825,       ,       , ,N,N,N,cand, 0.02443, 1.06266,K,13.8,1,2,All,2M,Simbad,131.150584,18.599204999999998,12.84
104,659652967453856512,211892153,129.59012891793537,18.61105454057999,12.755044,0.00047007580447289154,13.48276,11.939145,7.356244127766184,0.06298240819535282,JC123  ,0.96,12.72,10.18,     ,       ,2, ,        ,       ,       , , , , ,cand,        ,        , ,12.76,1,1,All,2M,Simbad,129.590259,18.611093,0.0
110,660920219027943552,211892898,130.8942005855531,18.622180249728046,11.810179,0.0003857574206100457,12.372592,11.127468,0.8576322178283119,0.03771428776284034,       ,1.06,11.74,9.6,     ,       ,2, ,        ,       ,       , , , , ,cand,        ,        , ,11.77,1,1,All,2M,Simbad,130.894296,18.622201,0.0
116,659665096441437184,211895099,129.38765841668297,18.654281509580834,10.531589,0.0005747708941042341,10.842387,10.084978,5.4528326343354925,0.0569535854508296,KW541  ,1.17,10.5,9.28, 7.31, 0.6152,0,Y, 0.00816, 3.6866, 0.2026,1,M,Y,N,    , 0.01000, 0.47471,D,10.57,2,1,All,2M,Simbad,129.38783,18.654311,7.31
117,659668635494494848,211895966,129.26544606712628,18.667302844503137,13.590301,0.00034116808209103144,14.361049,12.74347,5.426339569566225,0.034660329497339215,JS165  ,0.67,13.59,10.89,14.73, 0.6767,0,Y, 0.00894,       ,       , ,N,Y,N,    , 0.00353, 0.14359,2,13.61,1,2,All,2M,Simbad,129.265612,18.667351,14.73
120,659490510313883264,211896418,130.1398267833588,18.674438928024852,11.453332,0.0013220114242962597,11.861166,10.916206,5.3116272548326355,0.060308598873331634,KW546  ,1.03,11.4,9.83, 9.66, 0.6876,0,Y, 0.00719,       ,       , ,N,Y,N,    , 0.00795, 0.37988,K,11.41,1,2,All,2M,Simbad,130.13998899999999,18.674485,9.66
122,659489999214441216,211896450,130.24423700709204,18.67500042700003,13.223365,0.000430492533426586,13.985364,12.374147,6.553443927528132,0.24696731960831309,JS401  ,0.84,13.25,10.49,12.47, 0.6680,0,Y, 0.00825,       ,       , ,N,N,N,cand, 0.01050, 0.42574,K,13.21,1,2,All,2M,Simbad,130.244412,18.675047,12.47
124,660225916090501376,211896596,132.00707149073116,18.677071829500438,10.246216,0.000553517083939322,10.6058235,9.749912,5.363914846768619,0.045587428014569,JS655  ,1.3,10.22,8.81, 2.97, 0.3504,0,Y, 0.00998,       ,       , ,N,Y,N,conf, 0.01303, 0.37027,K,10.27,1,1,All,2M,Simbad,132.007256,18.677123,2.97
126,660933073866203264,211896749,130.84949903593431,18.67912910472826,15.602067,0.00041006015069960927,16.855768,14.485429,5.380508016034578,0.051425027291521576,JS534  ,0.42,15.92,12.16,21.17, 0.9009,0,Y, 0.00916,       ,       , ,N,N,N,    , 0.01997, 0.94650,2,15.67,0,2,All,2M,Simbad,130.849695,18.679209,21.17
131,662632540886348928,211896979,128.2619030292611,18.682583234119463,12.985446,0.0004843493224264893,13.616902,12.245153,5.35349828997738,0.038917711381471584,JS 21  ,0.77,12.93,10.68,13.30, 0.4717,0,Y, 0.00987,       ,       , ,N,Y,N,    , 0.00669, 0.21750,2,12.98,1,2,All,2M,Simbad,128.262056,18.682636,13.3
135,662665629314342272,211897821,127.7453886945455,18.694706459781244,14.710718,0.00030111601489687766,15.723638,13.717393,5.339832034375674,0.05189849559967069,AD 1427,0.57,14.83,11.59,16.42, 0.5648,0,Y, 0.00895,       ,       , ,N,Y,N,    , 0.01302, 0.47993,2,14.71,1,2,All,2M,Simbad,127.74553999999999,18.694766,16.42
138,659490995646856704,211898181,130.15769990163778,18.700051599905848,11.721721,0.00046333020402532097,12.227959,11.082612,1.6165586896745625,0.07147596599377211,KW547  ,1.05,11.65,9.7,     ,       ,2, ,        ,       ,       , , , , ,conf,        ,        , ,11.68,0,0,All,2M,Simbad,130.157851,18.700121,0.0
