,Unnamed: 0,source_id,EPIC,ra,dec,G,G_err,bp,rp,parallax,parallax_err,BP_err,RP_err,Name,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,Kpmag,PrCat,PCat,All,2M,Simbad,_RA,_DE,prot
295,17909,661195788427497472,211925013,130.3318954354198,19.098360258004515,18.156496,0.01,19.845736,16.816177,5.017465950561528,0.1925549032121971,0.2,0.01,AD 2934,0.17,19.0,14.0, 0.86, 0.3477,0,Y, 0.00777,       ,       , ,N,Y,N,    , 0.02792, 0.94956,2,18.36,0,2,All,2M,Simbad,130.332056,19.098459,0.86
297,17914,661028662658249344,211925093,130.67690278963877,19.099649730666968,11.434957,0.0003,11.8415575,10.903215,5.480801093228762,0.036531337404346206,0.002,0.002,KW476  ,1.02,11.4,9.88, 8.69, 0.3977,0,Y, 0.00825,       ,       , ,M,Y,N,    , 0.00962, 0.37243,K,11.41,1,2,All,2M,Simbad,130.67701,19.0997,8.69
300,17929,659750514750888192,211925371,129.37919688093862,19.10390183170548,13.370219,0.002,14.101716,12.547092,5.301821468492206,0.12016147740822038,0.01,0.002,JS186  ,0.72,13.34,10.77,13.12, 0.8750,0,Y, 0.00941,       ,       , ,N,Y,N,conf, 0.01455, 0.68789,2,13.37,0,1,All,2M,Simbad,129.37936499999998,19.103962,13.12
301,17940,659755630055476992,211925552,129.4473044979523,19.106819791131734,12.026661,0.0003,12.505101,11.414849,5.416343773349031,0.052603523191877964,0.002,0.002,KW 52  ,0.95,11.97,10.2, 9.33, 0.6514,0,Y, 0.00822,       ,       , ,N,Y,N,    , 0.01755, 0.80950,D,12.02,2,1,All,2M,Simbad,129.447466,19.106876,9.33
302,17941,661008527851529728,211925563,130.3998073677706,19.107022435384835,13.636729999999998,0.002,14.395894,12.795698,5.37618388179415,0.03076225742687105,0.01,0.002,JC259  ,0.64,13.62,10.98,13.48, 0.8568,0,Y, 0.00830,       ,       , ,N,Y,N,    , 0.02201, 1.07098,2,13.62,1,2,All,2M,Simbad,130.399967,19.10707,13.48
304,17950,661017216569202432,211925698,130.81594392829746,19.109139083484205,17.267295999999998,0.01,18.904306,16.002126999999998,5.388261303426616,0.13339364760357153,0.2,0.01,AD 3187,0.22,17.97,13.34, 6.25, 0.7744,0,Y, 0.00778,       ,       , ,N,N,Y,    , 0.03965, 1.79561,2,17.41,0,2,All,2M,Simbad,130.81611,19.1092,6.25
306,17979,661207024061875456,211926132,129.80055741569296,19.11555998141989,10.447189999999999,0.0003,10.747407,10.014978,5.344843039182075,0.055877508519673054,0.002,0.002,KW162  ,1.18,10.42,9.26, 5.87, 0.5172,0,Y, 0.00826,       ,       , ,M,N,N,    , 0.01708, 0.57441,K,10.45,1,1,All,2M,Simbad,129.800723,19.115613,5.87
308,17981,661204167906246784,211926133,129.91502045074697,19.11556595861815,18.277365,0.01,20.033648,16.923882,5.199467871071986,0.2787939479501413,0.2,0.01,HSHJ277,0.17,19.21,14.03, 1.56, 0.0688,0,Y, 0.00905,       ,       , ,N,N,N,    , 0.03671, 1.18849,2,17.43,0,2,All,2M,Simbad,129.91521,19.115616,1.56
310,17985,661028284701128576,211926166,130.62791898599667,19.11598204691513,17.687504,0.01,19.467514,16.386501000000003,5.501600786586884,0.14952382463907002,0.2,0.01,AD 3094,0.2,18.47,13.59, 1.21, 0.2324,0,Y, 0.00751,       ,       , ,N,N,N,    , 0.03156, 1.28009,2,17.86,0,2,All,2M,Simbad,130.62810100000002,19.116064,1.21
312,18018,612468658601702272,211926605,135.0440775784127,19.123045888613344,18.276678,0.01,20.179106,16.898548,6.307053418460933,0.3909664854293704,0.2,0.01,AD 4703,0.17,19.32,14.01, 1.79, 0.0412,0,Y, 0.00735,       ,       , ,N,N,Y,    , 0.02886, 0.86513,2,18.59,0,2,All,2M,Simbad,135.044268,19.123158,1.79
313,18030,662744210035689728,211926825,128.9151419057456,19.1267133793145,16.061613,0.002,17.539846,14.864679,5.068199755575726,0.11883039361561833,0.2,0.01,JS 94  ,0.39,16.52,12.29, 5.67, 0.2051,0,Y, 0.00760,       ,       , ,N,N,M,    , 0.02040, 0.38593,2,15.69,0,2,All,2M,Simbad,128.915377,19.126851000000002,5.67
314,18050,660327685339473152,211927174,131.97417704676258,19.1314411083748,17.46631,0.01,19.094852,16.174889999999998,5.417904320501116,0.13639809247598372,0.2,0.01,       ,0.2,18.23,13.54, 1.88, 0.3063,0,Y, 0.00826,       ,       , ,N,N,N,    , 0.03612, 1.17661,2,17.61,0,1,All,2M,Simbad,131.974335,19.131481,1.88
315,18054,659750892708009088,211927213,129.3598073104535,19.132081865590926,14.138554999999998,0.002,15.039492999999998,13.209009,5.341012342067184,0.0401520800716068,0.01,0.01,JS180  ,0.61,14.18,11.19,14.66, 0.8720,0,Y, 0.00852,       ,       , ,N,Y,N,    , 0.02621, 1.20209,2,14.15,1,2,All,2M,Simbad,129.359979,19.132137,14.66
316,18055,661029727808613760,211927269,130.6673753577243,19.133036603310817,11.91954,0.0003,12.365111,11.337653,5.365351143031867,0.04381332401405781,0.002,0.002,KW471  ,0.96,11.88,10.19, 9.39, 0.9077,0,Y, 0.00782,       ,       , ,N,N,Y,    , 0.02046, 0.93806,K,11.91,1,2,All,2M,Simbad,130.66754699999998,19.133079000000002,9.39
317,18058,659756493345357056,211927313,129.42635060275578,19.133719837491167,9.687124,0.0003,9.947457,9.303324,5.345717315807044,0.07186879980824651,0.002,0.002,KW 47  ,1.42,9.68,8.58, 3.06, 0.2011,0,Y, 0.00843,       ,       , ,Y,N,N,conf, 0.00134, 0.02549,2,9.79,1,1,All,2M,Simbad,129.426516,19.133763000000002,3.06
319,18116,661031480156796544,211928486,130.58352658328508,19.15152647861368,13.096282,0.002,13.750751999999999,12.333684,5.31500011764345,0.025936664664915825,0.01,0.002,JS482  ,0.76,13.04,10.7,11.93, 0.5645,0,Y, 0.00772,       ,       , ,N,Y,N,    , 0.00636, 0.31742,D,13.08,2,2,All,2M,Simbad,130.583682,19.151555,11.93
321,18118,661066664527946112,211928526,131.28544552002683,19.152228847479545,17.66541,0.01,19.293192,16.360903,4.976535653296102,0.4177433513042049,0.2,0.01,AD 3375,0.2,18.5,13.58, 1.80, 0.6426,0,Y, 0.00818,       ,       , ,N,N,Y,    , 0.02384, 0.98988,2,17.86,0,2,All,2M,Simbad,131.28561399999998,19.152287,1.8
323,18123,660327960217390848,211928574,131.96035614383504,19.153022970558613,17.41185,0.01,19.053106,16.13099,5.158155106975856,0.1277305873892936,0.2,0.01,       ,0.2,18.13,13.57, 1.49, 0.2537,0,Y, 0.00900,       ,       , ,N,Y,N,    , 0.02732, 0.78286,2,17.56,0,1,All,2M,Simbad,131.960509,19.153067,1.49
324,18143,659765598675979904,211928930,129.03713972750415,19.15852857641473,16.113047,0.002,17.55872,14.918926999999998,5.289498805057546,0.1049972469048836,0.2,0.01,JS111  ,0.37,16.82,12.38, 8.26, 0.4497,0,Y, 0.00834,       ,       , ,N,Y,Y,    , 0.01512, 0.63160,2,16.23,0,2,All,2M,Simbad,129.037336,19.158592000000002,8.26
325,18175,660317068180478336,211929493,132.49723701534717,19.16688833316287,16.876245,0.002,18.511910999999998,15.606417,5.132174505294033,0.10226158029075856,0.2,0.01,       ,0.26,17.46,13.01,14.59, 0.1010,0,Y, 0.00593,       ,       , ,N,N,M,    , 0.02106, 0.84732,2,16.93,0,1,All,2M,Simbad,132.497407,19.166956,14.59
327,18177,661029384212747392,211929531,130.7598999376483,19.167516307438163,11.908672,0.0003,12.359225,11.322878,5.457489724762996,0.04037789495171565,0.002,0.002,KW492  ,0.98,11.84,10.16, 9.89, 0.6509,0,Y, 0.00794,       ,       , ,N,Y,N,    , 0.00489, 0.19752,2,11.88,1,2,All,2M,Simbad,130.760069,19.167569,9.89
329,18206,661198915163689472,211929980,130.21782298158664,19.174487794007337,16.011837,0.002,17.587303,14.759549,5.653255975934873,0.2727645655284516,0.2,0.01,JS391  ,0.44,16.7,12.1, 1.18, 0.5171,0,Y, 0.00733,       ,       , ,N,N,N,    , 0.04374, 1.89265,2,15.32,0,2,All,2M,Simbad,130.217957,19.174451,1.18
331,18218,659763880689114240,211930233,129.26423863014006,19.17804724109097,13.162780999999999,0.002,13.820363,12.398697,5.671465660625587,0.05858441229006424,0.01,0.002,JC 85  ,0.75,13.12,10.73,19.02, 0.5913,0,Y, 0.00909,       ,       , ,N,Y,N,    , 0.00412, 0.22391,2,13.17,1,2,All,2M,Simbad,129.264414,19.178107,19.02
332,18228,661211147230556160,211930461,130.08873804821644,19.18176030654177,13.977336,0.002,14.762573999999999,13.008115,5.368220970408823,0.037057546632043685,0.01,0.01,JC201  ,0.73,13.49,10.76,14.59, 0.8391,0,Y, 0.00816,       ,       , ,N,Y,Y,conf, 0.00934, 0.38429,2,13.49,0,1,All,2M,Simbad,130.088905,19.181773,14.59
334,18238,659765220718853504,211930699,129.1515782774667,19.185155127890226,14.082101999999999,0.002,14.955618,13.166198000000001,5.33810759029532,0.03699336324798275,0.01,0.01,JS140  ,0.61,14.14,11.2, 6.74, 0.5576,0,Y, 0.00791,       ,       , ,N,Y,N,    , 0.00852, 0.31879,K,14.09,1,2,All,2M,Simbad,129.151777,19.185206,6.74
335,18256,659766114072052608,211931128,129.0943734105261,19.19143100342005,12.129682,0.0003,12.618116,11.507107000000001,5.4736885976369525,0.04799004062578671,0.002,0.002,JS127  ,0.92,12.07,10.26, 9.79, 0.4775,0,Y, 0.00970,       ,       , ,N,Y,N,    , 0.01110, 0.49757,D,12.15,2,2,All,2M,Simbad,129.094558,19.191485,9.79
336,18271,661220080762501120,211931411,130.45545524400134,19.196336122463503,13.822029,0.002,14.720328,12.884872,5.188264684798015,0.04218077314424982,0.01,0.002,JS456  ,0.69,13.9,10.83,13.66, 0.5185,0,Y, 0.00897, 6.7677, 0.2971,0,Y,Y,N,cand, 0.01325, 0.65215,K,13.8,1,2,All,2M,Simbad,130.455617,19.196386999999998,13.66
338,18288,661024024093555840,211931651,130.84318071113938,19.200157736919234,16.420282,0.002,17.938523999999997,15.204392000000002,5.437685389520045,0.09976707634454564,0.2,0.01,AD 3196,0.31,17.22,12.65,21.94, 0.1141,0,Y, 0.00683, 7.1375, 0.0236,1,M,N,N,    , 0.01113, 0.44555,2,16.55,0,2,All,2M,Simbad,130.843348,19.200209,21.94
342,18303,661200663212002304,211931872,130.29220683129142,19.203617330884203,18.217842,0.01,19.964949,16.848057,5.5562118513153065,0.19615697414791256,0.2,0.01,HSHJ352,0.18,19.2,13.9, 5.14, 0.0217,0,Y, 0.00640,       ,       , ,N,N,N,    , 0.01832, 0.35813,2,18.47,0,2,All,2M,Simbad,130.292372,19.203703,5.14
344,18334,661034155919816960,211932539,130.55125967986734,19.213463664606262,13.259915,0.002,13.941359,12.475716,5.335183792500897,0.02176222087754604,0.01,0.002,JS473  ,0.69,13.21,10.83,13.48, 0.2505,0,Y, 0.00790,       ,       , ,N,Y,N,    , 0.00249, 0.06164,2,13.22,1,2,All,2M,Simbad,130.551402,19.213511999999998,13.48
346,18345,661209566682500736,211932810,129.94386131546725,19.21773280393958,14.644770000000001,0.002,15.645852,13.65025,5.167254243278056,0.052965812067834434,0.01,0.01,JS317  ,0.58,14.86,11.51,15.90, 0.7411,0,Y, 0.00916,       ,       , ,N,Y,Y,    , 0.01485, 0.62324,2,14.64,1,2,All,2M,Simbad,129.944042,19.217772,15.9
348,18353,661211727047722752,211932923,130.10919858798016,19.219369329278567,12.571798,0.0003,13.131667000000002,11.880546,5.350560231264923,0.05690616774959964,0.01,0.002,JS359  ,0.84,12.52,10.46,10.69, 0.5956,0,Y, 0.00779,       ,       , ,N,Y,Y,conf, 0.01900, 0.86598,K,12.54,1,2,All,2M,Simbad,130.109376,19.219424,10.69
350,18367,661200083392683648,211933215,130.1744241166329,19.223676048170468,10.448848,0.0003,10.781367,9.98553,3.7902379830901625,0.4074964245874128,0.002,0.002,KW325  ,1.22,10.41,9.06, 6.11, 0.5571,0,Y, 0.00774,       ,       , ,N,Y,N,conf, 0.00986, 0.34675,K,10.46,1,1,All,2M,Simbad,130.174592,19.223741,6.11
352,18387,662768914687563776,211933636,129.03723303033337,19.229953308462164,15.485078,0.002,16.717396,14.380710999999998,5.352086388322725,0.06971703861547712,0.01,0.01,JS110  ,0.45,15.83,12.04,18.55, 0.7656,0,Y, 0.00881,       ,       , ,N,N,N,    , 0.01938, 0.81989,P,15.3,0,2,All,2M,Simbad,129.037427,19.230019,18.55
353,18410,659758967246506880,211934056,129.4874834787187,19.236161145661388,11.645328,0.0003,12.061308,11.094905,5.35752968095414,0.05273806637192669,0.002,0.002,KW 70  ,1.0,11.6,10.04, 9.05, 0.6929,0,Y, 0.00910,       ,       , ,N,Y,Y,    , 0.02019, 0.80429,K,11.64,1,1,All,2M,Simbad,129.487641,19.236217,9.05
355,18414,661068932271565696,211934092,131.36082581625638,19.236816926376235,17.106635999999998,0.01,18.901867000000003,15.797386999999999,5.2142381011447885,0.1736420030525451,0.2,0.01,AD 3413,0.26,17.98,13.04, 1.03, 0.1123,0,Y, 0.00814, 0.6038, 0.0429,0,N,N,N,    , 0.00760, 0.14492,2,16.24,0,2,All,2M,Simbad,131.360999,19.236885,1.03
357,18420,661201389064841088,211934172,130.24528635128894,19.237915252803358,18.393176999999998,0.01,20.214146,16.959677,5.476388149927039,0.30561581519856124,0.2,0.01,HSHJ344,0.18,19.55,13.98, 0.25, 0.0330,0,Y, 0.00675,       ,       , ,N,N,N,    , 0.03297, 0.22683,2,18.7,0,2,All,2M,Simbad,130.24543899999998,19.237984,0.25
359,18478,659768038217395968,211935509,129.20385490138537,19.2573050700223,11.136783,0.0003,11.4985075,10.640611999999999,4.909265531873927,0.09806625597082066,0.002,0.002,KW539  ,1.05,11.11,9.69, 7.49, 0.6029,0,Y, 0.00743,       ,       , ,N,Y,Y,conf, 0.01055, 0.48428,D,11.04,2,1,All,2M,Simbad,129.204023,19.257351999999997,7.49
360,18481,661220969817342848,211935518,130.4764180992273,19.25733235544234,11.219938,0.0003,11.612459,10.70314,5.351143153456009,0.035665973801124816,0.002,0.002,KW434  ,1.05,11.13,9.64, 4.18, 0.6546,0,Y, 0.00868,       ,       , ,N,Y,N,conf, 0.05169, 2.09998,K,11.18,1,1,All,2M,Simbad,130.476516,19.257417999999998,4.18
362,18483,661259525741991808,211935558,129.65596346935422,19.25793223294514,16.185865,0.002,17.70164,14.9704895,5.440222016952396,0.1023597840184506,0.2,0.01,JS241  ,0.37,16.82,12.4, 0.52, 0.1400,0,Y, 0.00682,       ,       , ,N,N,N,    , 0.03714, 1.31901,P,16.31,0,2,All,2M,Simbad,129.656171,19.257960999999998,0.52
364,18485,662899481693765632,211935588,127.08401124931328,19.25849342088836,17.210548,0.01,18.775827,15.971542999999999,4.922801691511395,0.12443270200294705,0.2,0.01,AD 1098,0.22,17.87,13.38,25.70, 0.0781,0,Y, 0.00743,       ,       , ,N,N,N,    , 0.00939, 0.30099,2,17.35,0,2,All,2M,Simbad,127.084179,19.258533,25.7
365,18495,661210666194127360,211935711,129.90162922771256,19.260442114876497,13.796629000000001,0.002,14.610579000000001,12.919360000000001,5.5389278328295255,0.047619927872280615,0.01,0.002,JS302  ,0.63,13.81,11.01,17.68, 0.2750,1,Y, 0.00902, 7.0870, 0.0966,1,Y,N,N,    , 0.00390, 0.11163,2,13.83,1,2,All,2M,Simbad,129.90181,19.260507,17.68
367,18521,659770340319909760,211936017,129.4008490385145,19.265020053614997,13.090208,0.002,13.73271,12.339576,5.2895285942676304,0.03433975454010516,0.01,0.002,       ,0.73,13.05,10.76,11.79, 0.4441,0,N, 0.00825,       ,       , ,N,Y,N,    , 0.01441, 0.73502,K,13.08,0,1,All,2M,Simbad,129.401006,19.265076999999998,11.79
368,18522,661220974115692416,211936049,130.4721341214279,19.26541315449367,17.979870000000002,0.01,19.561577,16.660470999999998,5.2727739005877945,0.3826127814279053,0.2,0.01,AD 3031,0.18,18.83,13.89, 0.36, 0.0591,0,Y, 0.00731,       ,       , ,N,N,Y,    , 0.03791, 0.11314,2,18.38,0,2,All,2M,Simbad,130.4723,19.265508999999998,0.36
370,18525,661221828810801408,211936067,130.41244349438702,19.265725859715143,12.76994,0.0003,13.343747,12.060647,5.49049205926498,0.04528962972955528,0.01,0.002,KW415  ,0.81,12.7,10.57,10.29, 0.0911,1,Y, 0.00848, 5.3752, 0.0436,1,Y,N,Y,    , 0.02332, 0.34806,K,12.73,1,2,All,2M,Simbad,130.41261200000002,19.265773,10.29
372,18536,661221760091324544,211936168,130.43938534137058,19.26723328027016,10.0419855,0.0003,10.316393,9.64214,5.436498007937776,0.04416731404945536,0.002,0.002,KW421  ,1.24,10.03,8.93, 4.90, 0.1660,0,N, 0.00884,       ,       , ,Y,Y,N,    , 0.00333, 0.08116,2,10.07,1,1,All,2M,Simbad,130.439555,19.267289,4.9
374,18538,661222279785744512,211936199,130.55340993855341,19.267690058826368,13.025414999999999,0.002,13.723961,12.225928,5.391682198079171,0.06400251090615706,0.01,0.002,JS474  ,0.84,13.0,10.48,10.77, 0.7045,0,Y, 0.00762,       ,       , ,N,Y,Y,    , 0.00527, 0.20364,2,13.0,1,2,All,2M,Simbad,130.553573,19.267734,10.77
376,18554,661026012662301568,211936457,130.98592506731967,19.27161893024796,18.887905,0.01,20.66368,17.519938,5.889714864737593,0.3987951870322353,0.2,0.2,HSHJ471,0.15,19.88,14.61, 0.35, 0.0183,0,Y, 0.00650,       ,       , ,N,N,N,    , 0.05200, 0.10965,2,19.18,0,2,All,2M,Simbad,130.986071,19.271688,0.35
378,18572,662805061132155008,211936741,128.32476500933473,19.275708068429754,16.815947,0.002,18.514860000000002,15.529826000000002,5.396575639850323,0.10897097589984067,0.2,0.01,JS667  ,0.28,17.52,12.81, 2.29, 0.6041,0,Y, 0.00903,       ,       , ,N,N,M,    , 0.07733, 3.61653,P,16.93,0,2,All,2M,Simbad,128.32497,19.275789000000003,2.29
379,18579,661222279785743616,211936827,130.5477440001907,19.27695703322184,11.928089,0.0003,12.38725,11.334610000000001,5.444306647483477,0.03143040624084266,0.002,0.002,KW448  ,0.97,11.87,10.17, 7.89, 0.6878,0,Y, 0.00861,       ,       , ,N,Y,N,    , 0.03040, 1.21676,K,11.9,1,2,All,2M,Simbad,130.54791,19.277002,7.89
381,18587,661215751435494144,211936878,130.010222383025,19.27765648818285,16.993984,0.002,18.501108,15.749051999999999,5.3989051399075745,0.14437726905830806,0.2,0.01,JS717  ,0.23,17.62,13.23,17.27, 0.1298,0,Y, 0.00672,       ,       , ,N,Y,N,    , 0.01471, 0.59832,2,16.05,1,1,All,2M,Simbad,130.010379,19.277701999999998,17.27
383,18589,661212933936844416,211936906,130.11415873597892,19.277983892034772,11.008219,0.0003,11.359286,10.529177,5.172223400870936,0.07161060482079512,0.002,0.002,KW301  ,1.05,10.98,9.65, 8.76, 0.1706,1,Y, 0.00780,       ,       , ,Y,M,Y,    , 0.01019, 0.20194,K,11.02,1,1,All,2M,Simbad,130.11433200000002,19.278038000000002,8.76
385,18612,661257154920147072,211937293,129.7301010822795,19.283770756326454,15.078538,0.002,16.219368,14.016217999999999,5.3732382046510425,0.05459631612496702,0.01,0.01,JS256  ,0.54,15.39,11.74,18.11, 0.2231,0,Y, 0.00794,       ,       , ,N,N,N,    , 0.02498, 0.51931,2,15.04,0,2,All,2M,Simbad,129.730286,19.283811,18.11
387,18626,661257704675956480,211937468,129.81344055828734,19.286476083087077,15.652394000000001,0.002,16.90842,14.523178,5.468079785987519,0.08370221098483661,0.01,0.01,JS281  ,0.41,16.06,12.21,17.27, 0.3341,0,Y, 0.00779,       ,       , ,N,N,N,    , 0.01182, 0.33829,2,15.22,0,2,All,2M,Simbad,129.813647,19.286523000000003,17.27
389,18629,660553978576244736,211937538,134.0070070262035,19.287592041979426,17.819271,0.01,19.604536,16.368664000000003,5.179384256156714,0.5111077711780783,0.2,0.01,AD 4357,0.2,18.74,13.51, 0.25, 0.0601,0,Y, 0.00726,       ,       , ,Y,N,N,    , 0.02203, 0.04068,2,18.01,0,2,All,2M,Simbad,134.007221,19.28764,0.25
391,18631,662769911119972224,211937565,129.04111217359292,19.287897568616046,18.985847,0.01,20.433279000000002,17.571758,5.25392132210516,0.40370925277170056,0.2,0.2,IZ031  ,0.14,19.97,14.82, 0.36, 0.0079,0,Y, 0.00712,       ,       , ,N,N,N,    , 0.03923, 0.28730,2,17.38,0,1,All,2M,Simbad,129.041326,19.28796,0.36
392,18633,661116241335005056,211937592,131.15148416700222,19.288221917470807,18.854858,0.01,20.851067999999998,17.494734,5.6037781911023385,0.3620105552387052,0.2,0.2,AD 3332,0.14,19.81,14.63, 0.21, 0.2484,0,Y, 0.00856,       ,       , ,N,Y,N,    , 0.05020, 0.04641,2,19.16,0,2,All,2M,Simbad,131.151669,19.288270999999998,0.21
394,18651,661040070091376512,211937872,130.67515744897014,19.29224980801256,14.043833,0.002,14.953545000000002,13.102424000000001,5.246427182200562,0.02721536327041575,0.01,0.01,JS497  ,0.63,14.08,11.05,13.72, 0.7545,0,Y, 0.00803,       ,       , ,Y,Y,N,    , 0.02538, 1.04003,P,14.09,1,2,All,2M,Simbad,130.67531599999998,19.292293,13.72
396,18676,661117134688210560,211938350,131.2744119173758,19.299261688520115,17.511324,0.01,19.157352,16.240316,5.342392991453507,0.16433637546313146,0.2,0.01,AD 3369,0.2,18.23,13.55,26.61, 0.3424,0,Y, 0.00809,       ,       , ,N,N,N,    , 0.02924, 1.01865,2,16.64,0,2,All,2M,Simbad,131.274619,19.299309,26.61
398,18683,661222073627319296,211938509,130.43269703433262,19.302219981223566,14.743064000000002,0.002,15.758614000000001,13.741451000000001,5.456425448907137,0.031958194646894346,0.01,0.01,JS452  ,0.56,14.97,11.64,16.70, 0.7690,0,Y, 0.00924,       ,       , ,N,Y,N,    , 0.01267, 0.57504,2,14.73,1,2,All,2M,Simbad,130.432862,19.302279000000002,16.7
402,18692,660478013490829056,211938625,133.44432561426513,19.303904987620854,14.134485999999999,0.002,15.047885999999998,13.18953,4.939135836375447,0.055625431991569614,0.01,0.01,AD 4129,0.62,14.25,11.16,13.79, 0.9182,0,Y, 0.00912,       ,       , ,N,Y,Y,    , 0.02938, 1.39020,K,14.21,1,2,All,2M,Simbad,133.444496,19.303963,13.79
404,18703,661117272127169280,211938817,131.30132418582255,19.306817401700823,18.039773999999998,0.01,19.794193,16.694044,5.747421432918526,0.23641118153274926,0.2,0.01,AD 3383,0.18,18.85,13.83, 0.46, 0.0760,0,Y, 0.00672,       ,       , ,N,N,N,    , 0.02462, 0.13393,2,18.21,0,2,All,2M,Simbad,131.301486,19.306873,0.46
406,18705,661216369910684544,211938860,130.0263208823676,19.30731207124981,10.803353999999999,0.0003,11.207369,10.266122,5.3356572027453915,0.07358751145667182,0.002,0.002,KW257  ,1.19,10.56,9.23, 7.80, 0.6897,0,Y, 0.00884,       ,       , ,N,Y,N,cand, 0.01083, 0.44869,K,10.8,1,2,All,2M,Simbad,130.02650400000002,19.307367000000003,7.8
408,18710,661216885306765824,211938911,129.92714849318634,19.307942589658538,16.683256,0.002,18.29109,15.403364999999999,4.911573513101653,0.16184039139953013,0.2,0.01,JS711  ,0.3,17.37,12.7, 1.34, 0.0228,0,Y, 0.00738,       ,       , ,N,N,N,    , 0.01242, 0.07807,2,15.97,0,2,All,2M,Simbad,129.92731799999999,19.308014,1.34
410,18715,661260212933886464,211938988,129.7123860359913,19.3091382079911,17.88741,0.01,,,5.408177954763472,0.25242709683607284,0.0,0.0,HSHJ229,0.25,18.1,13.04, 1.09, 0.0727,0,N, 0.00784, 0.7196, 0.0253,1,M,Y,N,    , 0.01098, 0.31391,S,17.24,0,2,All,2M,Simbad,129.712642,19.309314999999998,1.09
414,18719,661216404270424832,211939015,130.002789498072,19.309590657750164,13.805270000000002,0.002,14.669053,12.897611999999999,5.181008469663594,0.042184129537139625,0.01,0.002,JS329  ,0.66,13.68,10.92,14.24, 0.8377,0,Y, 0.00847, 3.0847, 0.0645,0,Y,N,N,    , 0.01220, 0.56800,K,13.81,0,2,All,2M,Simbad,130.002964,19.309642,14.24
416,18724,659772195745778688,211939094,129.39031488223978,19.310938457892988,15.651371,0.002,16.988422,14.496270999999998,5.2543004301477705,0.08493242987370547,0.01,0.01,JC105  ,0.46,16.15,12.02, 0.95, 0.3117,0,Y, 0.00806,       ,       , ,N,Y,M,    , 0.02311, 0.83805,2,15.27,1,1,All,2M,Simbad,129.390449,19.310997,0.95
417,18730,661216743570426240,211939206,129.96790279791608,19.31257951651948,10.111774,0.0003,10.386766999999999,9.709771,5.3987621507808745,0.06600017660704931,0.002,0.002,KW217  ,1.23,9.89,9.01, 3.14, 0.4924,1,Y, 0.01013,       ,       , ,M,Y,Y,    , 0.00837, 0.31412,K,10.14,1,1,All,2M,Simbad,129.968081,19.312641,3.14
419,18741,661222962682863616,211939350,130.55452573385247,19.314599277297248,18.724864999999998,0.01,20.271442,17.345238000000002,5.970486128230639,0.2753166635475789,0.2,0.2,HSHJ412,0.16,19.68,14.31, 1.76, 0.3274,0,Y, 0.00806,       ,       , ,N,N,N,    , 0.25600,10.61020,S,18.93,0,2,All,2M,Simbad,130.554666,19.314697,1.76
423,18750,661120162641349248,211939447,130.9967946687043,19.316075645949322,15.765478,0.002,17.092351999999998,14.621182000000001,5.165176746157849,0.06830267738228563,0.2,0.01,JS557  ,0.42,16.21,12.16,18.33, 0.7427,0,Y, 0.00813,       ,       , ,N,N,N,    , 0.02495, 1.06261,2,15.52,0,2,All,2M,Simbad,130.996917,19.316162,18.33
425,18752,659774394768991744,211939462,129.2038101393362,19.316423531324755,15.488722000000001,0.002,16.78027,14.35,5.347349643795992,0.0918410529942571,0.01,0.01,JS148  ,0.48,15.99,11.95, 1.17, 0.8786,0,Y, 0.00764,       ,       , ,N,N,N,    , 0.04376, 2.09225,P,15.54,0,2,All,2M,Simbad,129.203947,19.316471,1.17
428,18791,661258937329286400,211939989,129.81390810460366,19.324526483634433,18.094984,0.01,19.70364,16.752659,4.919667672380805,0.27057599100477553,0.2,0.01,AD 2527,0.17,18.97,13.99, 0.92, 0.1348,0,Y, 0.00806,       ,       , ,N,Y,N,    , 0.02401, 0.62780,S,18.3,0,2,All,2M,Simbad,129.814087,19.324568,0.92
430,18797,661258872906952320,211940093,129.7593308917653,19.326187934798227,12.122607,0.0003,12.617868,11.498594,5.460101591533724,0.06473211885825822,0.002,0.002,KW141  ,0.92,12.05,10.26, 4.89, 0.6536,1,Y, 0.00853,       ,       , ,N,Y,N,    , 0.01327, 0.50634,D,12.11,2,2,All,2M,Simbad,129.759509,19.326245,4.89
432,18805,659774291689774848,211940224,129.26100605520358,19.328415176010466,15.793995,0.002,17.143562,14.636672,5.408936550274726,0.09809347463866852,0.2,0.01,JS163  ,0.41,16.15,12.19,11.60, 0.7473,0,Y, 0.00799,       ,       , ,N,Y,M,    , 0.02539, 1.24332,2,15.34,0,2,All,2M,Simbad,129.26118200000002,19.328438000000002,11.6
433,18812,661228739416624384,211940389,130.6235058358167,19.331195333921247,18.205929,0.01,20.0101,16.8752,4.8598722813608495,0.1861538603983051,0.2,0.01,HSHJ423,0.17,19.06,14.05, 1.18, 0.0810,0,Y, 0.00742,       ,       , ,N,N,N,    , 0.02700, 0.99947,S,18.4,0,2,All,2M,Simbad,130.623681,19.331284,1.18
