,eep,eep_errp,eep_errm,age,age_errp,age_errm,feh,feh_errp,feh_errm,distance,distance_errp,distance_errm,av,av_errp,av_errm
0,297.12215555230193,13.665014099858354,13.052274505051287,9.428315569220743,0.06053372593405726,0.04513560247097104,-0.08430921442579348,0.04880623231091809,0.04440910891141597,6.519022315918937,0.038050368665080825,0.033905114391263425,2.3177856851281e-310,0.3686095633554022,0.3509767364589791
1,459.1222276183362,6.962310891331867,69.8834709020366,9.735010711403646,0.3697080224625662,0.6422075618811824,-0.09643229525202399,0.04781806571331647,0.04766790923237968,6.687252400412541,0.04131511887414785,0.03898429732595865,2.3177856851281e-310,0.39530258425599696,0.3074950247554543
2,395.3241571754478,21.147138652139574,40.60228403032556,10.054648182164726,0.08190372948966029,0.17912452230233278,0.16263534689053477,0.0456774707154273,0.044982613919136494,5.553829687011198,0.012478749961565505,0.012981030681482153,2.3177856851281e-310,0.3593111874123982,0.3277916670586407
3,353.05131915307607,14.86336819965419,4.197615062220393,9.971566333126221,0.07223830458633351,0.05625773476397988,-0.09120193688436345,0.04775161686614762,0.0422497904996115,6.448322710530835,0.02902635173732282,0.031180741276824797,2.3177856851281e-310,0.3280634679299089,0.33899305679134917
4,448.9283126806616,4.96016859082772,12.250702225888347,10.079683864821053,0.031327331717646345,0.030085502630582184,0.10527069001366379,0.04744845135297454,0.046652370001804985,3.092622390606947,0.0011179910792820102,0.0010931495342414443,2.3177856851281e-310,0.3414673045560327,0.33817779111489554
5,348.6646268757493,11.1464319064998,7.7247739165028975,9.395982627612177,0.11359511449151682,0.10551583895560768,-0.1557874270706569,0.05065632578741264,0.05014136943995723,6.520691897064037,0.034795158796664616,0.03275100982241419,2.3177856851281e-310,0.3137507551576755,0.3111751920446708
6,372.2033813778365,24.779626589631107,19.432324144276777,9.673118813497991,0.08470898417316342,0.07300706005054813,0.011730167398163828,0.04453127454115965,0.051367312090063365,4.116046462329833,0.003075855324420118,0.003039576502294139,2.3177856851281e-310,0.25337112358818004,0.3631309220276469
7,446.0546970974606,25.591645421312137,53.29706712138079,9.215371346837006,0.9191330511561429,0.353086503771177,-0.16219308426924361,0.04685435619129365,0.0478935897050613,5.686880257358163,0.014875394185135171,0.014519961498216105,2.3177856851281e-310,0.3785774522559401,0.28340110367649973
8,434.5052245627028,11.81782500034518,10.214541140811889,10.136786537397704,0.0314513044110285,0.03382075231477799,0.15227148219302292,0.04857754750755661,0.048412676291813714,5.7495905106837775,0.015686462181076166,0.015166036655430482,2.3177856851281e-310,0.3292553549899525,0.3476409607497626
9,201.84926751671378,7.922334079198521,2.3332950580992247,7.514251607022258,0.027632550491928143,0.11295946696910164,-0.20681169280239103,0.04719867498328864,0.04636287352036694,5.8857540626972575,0.018235485252015238,0.017959692049972276,2.3177856851281e-310,0.17130610548325115,0.04677742739862212
