id_starname,id_kic,id_koicand,id_kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,kic_kepmag,kic_jmag,kic_hmag,kic_kmag,cks_fp,cks_steff,cks_steff_err1,cks_steff_err2,cks_slogg,cks_slogg_err1,cks_slogg_err2,cks_smet,cks_smet_err1,cks_smet_err2,cks_svsini,cks_svsini_err1,cks_svsini_err2,iso_steff,iso_steff_err1,iso_steff_err2,iso_slogg,iso_slogg_err1,iso_slogg_err2,iso_smet,iso_smet_err1,iso_smet_err2,iso_srad,iso_srad_err1,iso_srad_err2,iso_smass,iso_smass_err1,iso_smass_err2,iso_sage,iso_sage_err1,iso_sage_err2,iso_slogage,iso_slogage_err1,iso_slogage_err2,iso_sparallax,iso_sparallax_err1,iso_sparallax_err2,iso_prad,iso_prad_err1,iso_prad_err2,iso_sma,iso_sma_err1,iso_sma_err2,iso_insol,iso_insol_err1,iso_insol_err2,iso_teq,iso_teq_err1,iso_teq_err2
0,K00001,11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613385,1.9e-08,-1.9e-08,2454955.763,6.2e-06,-6.2e-06,0.8186,0.0003,-0.0006,1.74259,0.00089,-0.00089,,,,14186.4,46.7,-46.7,0.123851,2.5e-05,-7.6e-05,1.83176,0.00684,-0.00441,12.85,0.27,-0.27,0.035,,,1344.0,,,772.22,60.74,-57.15,8.3922,0.0313,-0.0313,7825.785,6802.0,1,,5850.0,50.0,-50.0,4.455,0.025,-0.025,-0.15,0.1,-0.1,0.95,0.02,-0.02,0.94,0.05,-0.05,,,,stellar_q1_q16,11.338,10.232,9.92,9.846,False,5818.8,60.0,-60.0,4.4,0.1,-0.1,0.012,0.04,-0.04,1.3,1.0,-1.0,5815.0,66.0,-65.0,4.39,0.078,-0.091,0.013,0.041,-0.04,1.061,0.124817019673,-0.08760872331,1.014,0.0345727985561,-0.0345727985561,5.6234132519,2.04134620805,-2.9237728605,9.75,0.134498530116,-0.318694082667,4.68,0.43,-0.49,14.3173642555,1.41926644268,-1.41926644268,0.0359514803958,0.000595533474091,-0.000595533474091,890.712853372,184.876215547,-184.876215547,1392.18822406,71.7583299702,-71.7583299702
1,K00002,10666592,K00002.01,Kepler-2 b,CONFIRMED,2.204735365,3.8e-08,-3.8e-08,2454954.359,1.43e-05,-1.43e-05,0.001,0.0111,-0.001,3.88216,0.00044,-0.00044,,,,6690.6,1.3,-1.3,0.075408,8e-06,-7e-06,0.40593,6e-05,-0.00027,16.39,0.15,-0.14,0.0381,,,2025.0,,,3973.7,279.95,-264.48,4.707268,0.0007,-0.0007,3946.296,6714.5,1,,6350.0,80.0,-80.0,4.021,0.011,-0.011,0.26,0.08,-0.08,1.991,0.018,-0.018,1.52,0.036,-0.036,,,,stellar_q1_q16,10.463,9.555,9.344,9.334,False,6448.7,60.0,-60.0,4.134,0.1,-0.1,0.203,0.04,-0.04,5.2,1.0,-1.0,6447.0,65.0,-64.0,4.15,0.11,-0.11,0.192,0.041,-0.043,1.63,0.27196095308,-0.22240224819,1.374,0.0941018086968,-0.0687324552159,2.26464430759,0.380486665957,-0.543922191203,9.355,0.0674471809763,-0.119289259285,3.63,0.56,-0.51,13.4053688863,2.0185152313,-2.0185152313,0.0368801266601,0.000726647554011,-0.000726647554011,3029.59309272,931.186264049,-931.186264049,1890.64330683,146.140168022,-146.140168022
2,K00003,10748390,K00003.01,Kepler-3 b,CONFIRMED,4.887802706,1.77e-07,-1.77e-07,2454957.813,2.79e-05,-2.79e-05,0.026,0.0486,-0.026,2.36386,0.00113,-0.00113,,,,4342.1,2.2,-2.2,0.057989,4.9e-05,-3.3e-05,3.70008,0.01139,-0.02911,4.84,0.19,-0.14,0.053,,,801.0,,,97.1,16.17,-12.29,16.7184,0.0515,-0.0515,2375.858,2207.8,1,,4777.0,93.0,-91.0,4.59,0.011,-0.041,0.32,0.1,-0.14,0.765,0.03,-0.022,0.829,0.024,-0.053,,,,stellar_q1_q16,9.174,7.608,7.131,7.009,False,4864.3,60.0,-60.0,4.498,0.1,-0.1,0.327,0.04,-0.04,3.2,1.0,-1.0,4867.0,66.0,-65.0,4.541,0.039,-0.034,0.309,0.042,-0.043,0.807,0.0331888475244,-0.031456312562,0.827,0.0299761838799,-0.0267314720882,9.33254300797,4.26055466903,-5.52153276871,9.97,0.163318437654,-0.388959884382,25.3,1.1,-1.1,5.11145454766,0.410257385247,-0.410257385247,0.0529519567732,0.000882562347824,-0.000882562347824,116.907785516,20.0944107608,-20.0944107608,837.962115794,35.98175191,-35.98175191
3,K00006,3248033,K00006.01,,FALSE POSITIVE,1.334104268,7.07e-07,-7.07e-07,2454966.702,0.00042,-0.00042,1.2741,0.1042,-0.2177,3.0142,0.0218,-0.0218,,,,444.2,3.1,-3.1,0.294016,0.103683,-0.209459,0.03526,0.00699,-0.00941,50.73,13.32,-10.92,0.025,,,2166.0,,,5207.55,3668.21,-2267.49,1.491,0.296,-0.296,49.141636,192.7,1,,6178.0,104.0,-133.0,4.106,0.175,-0.152,0.0,0.12,-0.14,1.58,0.415,-0.34,1.16,0.162,-0.114,,,,stellar_q1_q16,12.161,11.259,11.02,10.995,True,6348.1,60.0,-60.0,4.357,0.1,-0.1,0.044,0.04,-0.04,11.8,1.0,-1.0,6344.0,65.0,-67.0,4.323,0.06,-0.084,0.041,0.042,-0.042,1.261,0.144222218815,-0.0896216960339,1.225,0.0411004866151,-0.0387330608137,1.94984459976,0.954318662742,-1.153611705,9.29,0.173021027321,-0.388959884379,2.19,0.17,-0.22,39.7272301923,21.9660144235,-21.9660144235,0.0253828229618,0.000427011144709,-0.000427011144709,3595.44514768,694.155893648,-694.155893648,1973.33897216,95.1798971074,-95.1798971074
4,K00007,11853905,K00007.01,Kepler-4 b,CONFIRMED,3.213668628,1.122e-06,-1.122e-06,2454956.612,0.00028,-0.00028,0.0189,0.1978,-0.0188,3.99355,0.00945,-0.00945,,,,727.7,2.6,-2.6,0.024735,0.000141,-7.6e-05,0.46381,0.00018,-0.0571,4.14,0.11,-0.11,0.0439,,,1507.0,,,1218.92,133.27,-122.39,6.32647,0.00246,-0.00246,311.06277,328.5,1,,5781.0,76.0,-76.0,4.105,0.01,-0.01,0.09,0.101,-0.101,1.533,0.04,-0.04,1.092,0.073,-0.073,,,,stellar_q1_q16,12.211,11.122,10.836,10.805,False,5826.9,60.0,-60.0,4.089,0.1,-0.1,0.177,0.04,-0.04,2.8,1.0,-1.0,5833.0,60.0,-67.0,4.117,0.106,-0.096,0.171,0.041,-0.042,1.53,0.241942885822,-0.202327358506,1.119,0.101498100475,-0.0593789895502,6.48634433548,1.43151189889,-1.63194094983,9.812,0.0866076119419,-0.125864137999,2.08,0.32,-0.28,4.12534995432,0.596032175892,-0.596032175892,0.0442469968649,0.00107467818423,-0.00107467818423,1233.84467246,367.335736147,-367.335736147,1510.35364714,112.889879734,-112.889879734
5,K00008,5903312,K00008.01,,FALSE POSITIVE,1.160153243,4.27e-07,-4.27e-07,2454954.704,0.000369,-0.000369,0.7843,0.0178,-0.5569,1.4127,0.025,-0.025,,,,368.7,19.3,-19.3,0.018559,0.000246,-0.001678,1.01855,2.56372,-0.17903,2.0,0.38,-0.16,0.0213,,,1752.0,,,2229.29,1175.88,-491.07,4.17,1.7,-1.7,43.115734,201.0,1,,5842.0,112.0,-118.0,4.433,0.062,-0.156,-0.1,0.14,-0.16,0.985,0.187,-0.079,0.959,0.062,-0.069,,,,stellar_q1_q16,12.45,11.371,11.092,11.04,True,5891.1,60.0,-60.0,4.535,0.1,-0.1,-0.066,0.04,-0.04,3.0,1.0,-1.0,5883.0,67.0,-64.0,4.46,0.044,-0.065,-0.063,0.042,-0.043,0.985,0.0736823588113,-0.0528118357946,1.017,0.035421964937,-0.035421964937,2.95120922667,2.31574759283,-1.95037364775,9.47,0.251559757862,-0.46963726421,2.89,0.17,-0.2,1.99308553508,0.191473490678,-0.191473490678,0.0217409105332,0.000361341316906,-0.000361341316906,2211.17594633,378.322750949,-378.322750949,1747.5087197,74.0477543613,-74.0477543613
6,K00010,6922244,K00010.01,Kepler-8 b,CONFIRMED,3.522498573,1.94e-07,-1.94e-07,2454954.119,4.64e-05,-4.64e-05,0.6141,0.0061,-0.0094,3.19061,0.00633,-0.00633,,,,9379.3,6.6,-6.6,0.093582,0.000117,-0.000198,0.68914,0.0184,-0.01254,14.83,1.19,-1.32,0.0473,,,1521.0,,,1264.67,323.37,-317.46,7.675,0.205,-0.205,1792.6439,1801.5,1,,6225.0,114.0,-158.0,4.169,0.055,-0.048,-0.04,0.12,-0.16,1.451,0.117,-0.129,1.132,0.088,-0.098,,,,stellar_q1_q16,13.563,12.576,12.324,12.293,False,6181.3,60.0,-60.0,4.238,0.1,-0.1,-0.084,0.04,-0.04,10.2,1.0,-1.0,6179.0,68.0,-63.0,4.254,0.09,-0.107,-0.073,0.046,-0.045,1.31,0.221554598237,-0.142430474267,1.128,0.0725944460686,-0.0459233448259,3.99024902362,0.822761207856,-0.925664129611,9.601,0.0814167848997,-0.114628343478,1.19,0.14,-0.17,13.392842299,1.84829739574,-1.84829739574,0.0472006563609,0.000822172850158,-0.000822172850158,1008.98458217,285.797627706,-285.797627706,1436.26526868,101.510972476,-101.510972476
7,K00017,10874614,K00017.01,Kepler-6 b,CONFIRMED,3.234699312,1.13e-07,-1.13e-07,2454954.487,2.77e-05,-2.77e-05,0.0008,0.0181,-0.0008,3.60111,0.00091,-0.00091,,,,10814.1,4.0,-4.0,0.095137,2e-05,-1.8e-05,0.77551,0.00039,-0.00113,13.41,0.97,-1.03,0.0435,,,1355.0,,,797.62,185.14,-169.15,7.54164,0.00379,-0.00379,3100.344,3344.9,1,,5640.0,99.0,-110.0,4.236,0.049,-0.047,0.34,0.1,-0.16,1.291,0.093,-0.099,1.047,0.079,-0.075,,,,stellar_q1_q16,13.303,12.001,11.706,11.634,False,5659.8,60.0,-60.0,4.153,0.1,-0.1,0.359,0.04,-0.04,2.6,1.0,-1.0,5667.0,58.0,-63.0,4.165,0.1,-0.099,0.339,0.041,-0.04,1.45,0.221903132019,-0.182321145236,1.114,0.0975776531794,-0.0621321044228,6.71428852926,1.7206298285,-1.6892908907,9.827,0.0990808833748,-0.125864137999,1.53,0.22,-0.21,15.0431431652,2.1033159562,-2.1033159562,0.0443984490336,0.00105767769088,-0.00105767769088,978.501476981,284.166523054,-284.166523054,1425.29216411,103.051539291,-103.051539291
8,K00018,8191672,K00018.01,Kepler-5 b,CONFIRMED,3.548465405,1.96e-07,-1.96e-07,2454955.901,4.59e-05,-4.59e-05,0.0003,0.0211,-0.0003,4.57705,0.00133,-0.00133,,,,7451.9,3.6,-3.6,0.080126,2.2e-05,-2e-05,0.39897,0.00033,-0.00057,15.28,1.18,-1.28,0.05,,,1640.0,,,1708.28,410.12,-380.13,6.42769,0.00532,-0.00532,2373.4998,2442.4,1,,6290.0,105.0,-120.0,4.074,0.045,-0.054,0.04,0.1,-0.16,1.746,0.135,-0.146,1.319,0.09,-0.135,,,,stellar_q1_q16,13.369,12.115,11.863,11.769,False,6331.9,60.0,-60.0,4.121,0.1,-0.1,0.022,0.04,-0.04,4.4,1.0,-1.0,6333.0,67.0,-69.0,4.15,0.1,-0.11,0.025,0.041,-0.039,1.59,0.2818,-0.212394067714,1.294,0.0917266286309,-0.0736937880693,2.9444216338,0.430415946297,-0.457565117166,9.469,0.0592528764959,-0.0733492713573,1.22,0.18,-0.18,13.9384089806,2.19412926865,-2.19412926865,0.0496678547091,0.00106315729895,-0.00106315729895,1483.29607944,478.292268231,-478.292268231,1581.50470183,127.993235003,-127.993235003
9,K00020,11804465,K00020.01,Kepler-12 b,CONFIRMED,4.43796303,1.67e-07,-1.67e-07,2455004.009,2.81e-05,-2.81e-05,0.0,0.0139,0.0,4.70104,0.00092,-0.00092,,,,16721.1,5.2,-5.2,0.117936,1.6e-05,-2.3e-05,0.50824,0.0002,-0.0005,18.22,3.93,-3.13,0.0545,,,1338.0,,,757.65,442.92,-279.52,8.08834,0.00318,-0.00318,3401.3093,3953.1,1,,5953.0,105.0,-123.0,4.175,0.14,-0.131,0.08,0.13,-0.14,1.415,0.305,-0.243,1.093,0.128,-0.091,,,,stellar_q1_q16,13.438,12.406,12.107,12.066,False,5926.5,60.0,-60.0,4.014,0.1,-0.1,0.033,0.04,-0.04,1.7,1.0,-1.0,5927.0,65.0,-65.0,4.05,0.105,-0.098,0.032,0.042,-0.041,1.67,0.262136529312,-0.222520920365,1.14,0.0899379786297,-0.0576961003882,5.94292158616,1.1558248892,-1.29056304495,9.774,0.0771816660575,-0.106326823078,1.06,0.16,-0.14,21.4090092215,3.13034101858,-3.13034101858,0.0552550373838,0.00118971749994,-0.00118971749994,1004.27166061,302.385393907,-302.385393907,1434.58513943,107.335684894,-107.335684894
