kepid,Teff,logg,Mass,Prot,Prot_err,Rper,LPH,w,DC,Flag
9117390,6329,4.11,1.2144,1.598,0.01,14205.28,1.392,0.746,0,---
9117760,5299,4.31,0.9117,15.633,0.182,3677.85,1.146,0.6678,0,---
9117806,5626,4.4,0.9989,9.982,0.02,12744.31,1.198,0.6923,0,---
9117914,5076,4.51,0.8539,15.91,0.046,11383.44,1.254,0.6882,0,---
9118402,5769,3.89,1.0388,15.446,0.067,1239.18,0.745,0.5099,0,---
9118695,5287,4.23,0.9086,6.788,0.016,15921.24,1.626,0.7532,0,---
9118981,5792,3.95,1.0454,1.513,0.007,21052.84,1.519,0.7498,0,---
9119108,4840,4.46,0.7925,0.646,0.003,43403.12,1.658,0.7795,0,---
9137094,4764,4.7,0.7724,34.666,7.672,4828.18,0.397,0.2775,0,---
9137146,4635,4.38,0.7377,33.031,5.944,2499.64,0.51,0.363,0,---
9137153,6072,4.32,1.1293,16.378,3.781,882.63,0.8,0.4693,0,---
9137160,5033,4.49,0.8428,29.909,1.261,6487.4,0.809,0.4714,0,---
9137189,5406,4.39,0.9398,25.941,3.974,1835.94,0.47,0.3353,0,---
9137217,5651,4.39,1.0058,9.173,0.024,17112.88,1.303,0.7218,0,---
9137257,4920,4.31,0.8135,30.977,1.1,4168.69,0.645,0.4153,0,---
9137297,6345,4.18,1.22,7.072,0.014,1420.14,1.189,0.641,0,---
9137580,5530,4.41,0.9728,32.232,0.225,601.17,0.557,0.3154,0,---
9137689,4738,4.51,0.7655,32.076,0.628,4455.66,0.476,0.3525,0,---
9137728,5861,4.51,1.0654,7.861,0.011,9316.24,1.187,0.6815,0,---
9138040,5279,4.64,0.9065,19.683,0.03,13816.45,1.063,0.6116,0,---
9138084,4616,4.17,0.7325,30.999,0.466,2798.59,0.605,0.4279,0,---
9138286,5442,4.59,0.9493,15.782,0.022,2656.76,1.0,0.6268,0,---
9138426,5203,4.61,0.8868,27.811,0.042,5823.82,0.774,0.4645,0,---
9138434,6276,4.07,1.1961,8.016,0.306,2347.14,0.593,0.4214,0,---
9138680,5738,4.32,1.03,18.807,0.185,538.95,0.871,0.5224,0,---
9138764,5694,4.48,1.0177,8.119,0.013,13327.99,1.298,0.7224,0,---
9138848,5659,4.52,1.008,4.399,0.005,18531.98,1.463,0.7519,0,---
9138992,4606,4.47,0.7298,29.041,0.058,7166.36,0.766,0.501,0,---
9139230,5177,4.46,0.8801,34.543,6.333,3402.17,0.494,0.2874,0,---
9139776,4611,4.38,0.7312,47.731,1.483,7018.95,0.583,0.2955,0,---
9140459,5381,4.61,0.9332,18.521,0.051,18044.17,1.11,0.624,0,---
9140662,6391,4.22,1.2363,9.962,0.024,1921.36,0.887,0.5103,0,---
9141060,5041,4.38,0.8449,11.05,0.031,8324.59,1.425,0.7441,0,---
9141156,5094,4.69,0.8586,32.06,0.428,5442.14,0.785,0.4422,0,---
9141404,5357,4.64,0.9269,21.77,0.117,5508.42,0.71,0.4954,0,---
9141582,5504,4.55,0.9658,24.557,0.501,5651.24,0.676,0.4279,0,---
9141609,4617,4.64,0.7328,27.996,0.429,2529.59,0.594,0.3958,0,---
9141737,5131,4.38,0.8682,17.793,0.116,18570.1,1.342,0.6666,0,---
9141747,5460,4.46,0.9541,18.12,0.143,4672.47,0.809,0.5421,0,---
9141755,5473,4.64,0.9575,38.986,0.201,859.26,0.788,0.4076,0,---
9141881,5785,4.39,1.0434,4.112,0.01,10149.24,1.129,0.6196,0,---
9142010,5513,4.33,0.9682,15.179,0.052,7839.86,0.939,0.5971,0,---
9142219,5325,4.57,0.9185,13.619,0.121,9858.31,1.191,0.6923,0,---
9142314,5503,4.59,0.9655,7.506,0.059,8448.06,1.128,0.6232,0,---
9142315,5877,4.64,1.0701,7.453,0.061,1317.44,0.636,0.4087,0,---
9142393,5544,4.61,0.9766,38.061,0.125,21353.42,1.144,0.5448,0,---
9142489,5650,4.72,1.0055,25.203,0.922,3442.23,0.448,0.2902,0,---
9142773,5481,4.44,0.9596,6.661,0.02,7865.01,1.323,0.7016,0,---
9142888,5007,4.54,0.8361,21.589,0.195,12223.84,1.032,0.6103,0,---
9142932,5192,4.35,0.8839,11.498,0.011,6527.66,1.05,0.5818,0,---
9142974,6034,3.91,1.1175,2.428,0.016,5498.05,0.799,0.4847,0,---
9142980,5564,4.64,0.982,5.408,0.013,32854.38,1.492,0.7723,0,---
9143133,5570,4.6,0.9836,7.616,0.08,3943.44,1.059,0.5999,0,---
9143477,5027,4.87,0.8413,25.949,0.687,4644.81,0.91,0.5368,0,---
9143563,5094,4.36,0.8586,27.402,0.322,23431.36,1.279,0.607,0,---
9143566,5336,4.42,0.9214,30.477,3.991,2625.05,0.517,0.3219,0,---
9143782,5094,4.73,0.8586,29.493,1.942,4753.05,0.542,0.3711,0,---
9145697,4906,4.3,0.8098,8.105,0.011,22838.59,1.557,0.773,0,---
9145926,4720,4.22,0.7607,18.502,0.071,14773.37,1.212,0.6827,0,---
9146066,5151,4.67,0.8733,23.443,0.117,12718.68,0.935,0.5571,0,---
9146242,5791,4.49,1.0451,21.964,0.921,1072.5,0.485,0.3169,0,---
9146352,4890,4.51,0.8056,30.264,0.425,7223.9,0.64,0.4253,0,---
9146366,5124,4.47,0.8663,25.176,0.186,6008.89,0.735,0.4918,0,---
9146406,5112,4.81,0.8632,30.526,0.7,5515.1,0.721,0.4279,0,---
9146690,5216,4.52,0.8901,0.717,0.006,2588.33,0.919,0.4915,0,---
9147006,4791,4.62,0.7796,15.653,0.035,11228.8,1.267,0.7141,0,---
9147368,5063,4.49,0.8506,13.797,0.109,9314.78,1.168,0.6525,0,---
9149986,5319,4.35,0.9169,1.434,0.003,32376.71,1.467,0.7131,0,---
9150107,5248,4.56,0.8985,31.478,5.847,4828.24,0.812,0.4509,0,---
9150143,5327,4.39,0.919,27.513,0.235,2700.69,0.554,0.3694,0,---
9150219,4651,4.53,0.7421,12.426,0.04,14280.11,1.277,0.6792,0,---
9150280,5578,4.46,0.9858,16.381,0.018,10379.67,0.913,0.5797,0,---
9150284,5374,4.61,0.9313,5.22,0.007,5256.71,1.331,0.6852,0,---
9150330,6280,4.4,1.1975,10.229,0.134,1325.96,0.387,0.2743,0,---
9150496,5197,4.41,0.8852,7.5,0.029,28363.97,1.505,0.767,0,---
9150539,5409,4.5,0.9405,3.32,0.01,38575.02,1.683,0.7819,0,---
9150566,4534,4.36,0.7099,14.112,0.068,5698.38,1.094,0.5995,0,---
9150573,4803,4.49,0.7828,36.884,1.115,5107.07,0.463,0.2843,0,---
9150788,5531,4.83,0.973,21.662,0.284,6445.41,0.748,0.4792,0,---
9150898,5746,4.43,1.0323,18.217,3.344,1055.6,0.35,0.2757,0,SM1
9150921,5831,4.67,1.0566,11.952,0.075,4450.92,0.598,0.4124,0,---
9151085,5476,4.59,0.9583,10.884,0.423,5263.63,0.685,0.4169,0,---
9151149,4768,4.53,0.7735,25.427,0.369,7514.12,0.962,0.5749,0,---
9151205,5919,4.06,1.0825,23.087,0.329,1453.52,0.697,0.4022,0,---
9151264,5658,4.36,1.0077,15.204,0.263,4409.07,0.645,0.4439,0,---
9151271,5167,4.41,0.8775,4.633,0.004,3634.66,0.659,0.3684,0,---
9151468,5068,4.5,0.8519,11.21,0.033,13938.43,1.219,0.6549,0,---
9151664,5092,4.49,0.8581,22.647,0.301,5713.64,1.067,0.5949,0,---
9151799,5186,4.66,0.8824,23.927,0.863,8207.38,0.735,0.5002,0,---
9152029,6359,4.39,1.2249,3.955,0.162,1362.17,0.408,0.3167,0,---
9152299,5273,4.48,0.9049,20.068,0.198,9882.45,1.122,0.6177,0,---
9152469,5864,4.57,1.0663,8.054,0.015,8405.51,0.994,0.5964,0,---
9152773,5239,4.42,0.8961,20.377,0.066,10588.44,1.055,0.6059,0,---
9152885,4691,4.25,0.7529,26.718,0.265,11470.26,0.992,0.5716,0,---
9153013,4601,4.33,0.7284,26.356,0.844,3575.21,0.672,0.4377,0,---
9153079,4816,4.55,0.7862,29.476,4.683,4161.18,0.651,0.4458,0,---
9153174,4430,4.33,0.6805,22.195,0.238,7143.62,0.884,0.5392,0,---
9153246,5392,4.67,0.9361,54.572,3.716,1818.24,0.6,0.2802,0,---
9153357,4993,4.67,0.8324,33.432,0.316,3140.3,0.473,0.3054,0,---
9153363,5758,4.6,1.0357,14.175,0.77,3281.83,0.844,0.5607,0,---
9153622,5512,4.5,0.9679,13.15,0.057,19658.74,1.21,0.6796,0,---
9153823,4467,4.48,0.691,1.446,0.006,66818.77,1.704,0.8192,0,---
9153899,4976,4.46,0.828,23.529,3.59,4224.12,0.508,0.3197,0,---
9154105,5801,4.28,1.048,13.744,0.039,7719.01,1.068,0.62,0,---
9154153,4721,4.31,0.7609,33.36,3.371,1524.63,0.448,0.3238,0,---
9154246,4994,4.21,0.8327,17.131,0.053,19075.81,1.209,0.6805,0,---
9156522,5284,4.71,0.9078,28.793,0.336,2438.22,0.368,0.2662,0,---
9156552,6307,4.65,1.2068,1.763,0.005,7256.33,1.233,0.6915,0,---
9156562,5744,4.78,1.0317,14.609,0.164,8078.81,0.627,0.4413,0,SM2
9156636,6437,4.63,1.2529,2.601,0.032,1898.83,0.537,0.4017,0,---
9156829,5765,4.57,1.0377,20.873,2.698,3033.1,0.4,0.2832,0,---
