praesepe_oid,col1,solution_id,designation,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,source_id
1,0,1635721458409799680,Gaia DR2 665203233431193344,438819314,2015.5,129.73385354319655,0.28250003472034463,21.940802225611847,0.1809366913130934,5.181967323170673,0.364821207542665,14.204128,-35.84058251745401,0.5422666119947177,-13.45929199757387,0.37546512450414343,-0.67677385,-0.5611997,-0.58451676,0.64583015,0.52425927,0.60870844,-0.63459766,0.7262891,-0.64221954,-0.64946604,268,0,265,3,4.547959,377.25476,0.8492111563714495,4.131324616634331,31,false,0.36700276,1.274769322121197,0.037341672645058686,-0.0559877,30,10,0.6195852,0,37,false,328,793.4156573417455,1.2204978918969467,650.0754,18.439613,33,109.92366055275195,5.99803939857847,18.3266,20.248661,32,1171.9798377885747,11.792865395637968,99.38042,17.08962,1.6156771,0,3.1590405,1.8090477,1.3499928,,,0,,,,NOT_AVAILABLE,203.23716035572252,32.925303484797105,126.43860892589079,3.386589434638432,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=665203233431193344,,665203233431193344
2,1,1635721458409799680,Gaia DR2 664963024499946496,958732839,2015.5,130.84387194770818,0.03901347964810798,21.67163315682793,0.02335952587439396,5.597635847709588,0.04702067263944514,119.04627,-37.65314529914873,0.07518456714767217,-14.368143162076793,0.048269190806678984,-0.3185528,-0.28130677,-0.31441233,0.25010985,0.17187771,0.3448516,-0.792576,0.52406764,-0.03576493,-0.32548714,437,437,416,21,11.747397,847.1019,0.0,0.0,31,true,334.04196,1.5861404765819127,0.006233578738492003,0.093674295,50,12,0.05097232,0,57,true,490,1299242.4730115607,414.718994190441,3132.8262,10.40414,54,681591.138191885,499.3819671127931,1364.8694,10.767578,57,875939.3901312983,656.586932630942,1334.0798,9.905735,1.198799,0,0.8618431,0.36343765,0.49840546,,,0,,,,NOT_AVAILABLE,203.94256485206543,33.81272897612869,127.50562024171006,3.3920583621208484,100001,5516.3003,5360.9,5664.2,0.423,0.2325,0.6008,0.2173,0.1269,0.297,200111,1.4155829,1.3426225,1.4988415,1.6716946,1.6520766,1.6913127,http://geadata.esac.esa.int/data-server/datalink/links?ID=664963024499946496,,664963024499946496
3,2,1635721458409799680,Gaia DR2 664976218639479296,1098661810,2015.5,130.76188472497412,0.12662728868433723,21.753746648371642,0.0797323308465079,5.730734073778057,0.1567354908762009,36.56309,-41.50437733613937,0.2391477918401656,-16.728266543021405,0.17790888876953592,-0.29788053,-0.2092003,-0.21396403,0.23124844,0.102266744,0.3589522,-0.79073465,0.47185206,0.1035458,-0.313014,404,0,400,4,7.215041,633.56305,0.5038191295123461,7.415951608407436,31,false,1.3805146,1.2037174931610564,0.01911452156260152,0.090675384,46,11,0.23535913,0,49,false,424,2189.9865479660434,1.7461329133466281,1254.1924,17.337261,46,264.41678137445996,5.194123905570953,50.906906,19.295666,45,3203.2410698649746,7.988652097391783,400.9739,15.997946,1.5834152,1,3.29772,1.9584045,1.3393154,,,0,,,,NOT_AVAILABLE,203.81939100429543,33.76728194918118,127.41052618983666,3.451504744838045,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664976218639479296,,664976218639479296
4,3,1635721458409799680,Gaia DR2 665059403566191872,1163176641,2015.5,131.04537513149273,0.0947582894515142,21.79389426032645,0.056234707388346065,5.635962281138118,0.13993364809132006,40.275963,-38.870147992997346,0.18444766178452993,-15.794311056258671,0.10435026156436691,-0.5448872,-0.59338176,-0.48953837,0.43230978,0.5992538,0.5887632,-0.8032242,0.75885123,-0.42798376,-0.51173216,381,0,381,0,5.5560517,549.0094,0.26785725464934523,4.7115514167779295,31,false,3.9332626,1.2672353240349294,0.012384962697418006,0.06884541,43,10,0.20360583,0,50,false,441,4861.390868198172,2.9320506416540852,1658.0173,16.471464,45,884.2035634181925,6.1914853575111275,142.8096,17.985008,48,6341.536119975194,12.160048085110144,521.50586,15.2564335,1.4863523,0,2.7285748,1.5135441,1.2150307,,,0,,,,NOT_AVAILABLE,203.87611823796465,34.029394914594455,127.6546499821557,3.5589597695430695,100001,4065.55,3592.7651,4675.263,0.478,0.1909,0.7426,0.275,0.0987,0.4646,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=665059403566191872,,665059403566191872
5,4,1635721458409799680,Gaia DR2 664942404361149568,123701194,2015.5,130.43077461126953,0.19630844564874136,21.49726523363486,0.10871964547013753,5.139799465072064,0.2195440122438807,23.41125,-34.19635071263655,0.38410120289516464,-15.836880377919316,0.22827887728074753,-0.02675288,-0.16208498,-0.043643404,0.039996106,0.038796645,0.047318455,-0.6211971,0.49339315,-0.018348692,-0.025998047,308,0,308,0,5.908678,472.07425,0.7334619613300565,5.21973606258362,31,false,0.53784674,1.2272712463246687,0.03201231144594537,0.14554977,35,11,0.34907773,0,42,false,359,1030.286606970363,1.426652421882855,722.1707,18.155972,35,131.01063077744186,7.3684848456828185,17.77986,20.058123,36,1579.6964115611336,6.69985462443064,235.7807,16.765486,1.6604186,0,3.2926369,1.9021511,1.3904858,,,0,,,,NOT_AVAILABLE,203.99019408211018,33.39274606041209,127.17936511879542,3.123989439687734,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664942404361149568,,664942404361149568
6,5,1635721458409799680,Gaia DR2 664909831331050624,1299344258,2015.5,131.22408819423873,0.3728893383756387,21.619123377685224,0.21820685702556258,5.675676852963673,0.4774238465466242,11.88813,-39.13990796857961,0.7080169087189867,-16.578394213094693,0.41207334987013955,-0.50846314,-0.56781733,-0.5821434,0.45306233,0.56346184,0.5364501,-0.8141276,0.73610306,-0.46626347,-0.47779202,339,0,339,0,5.0601287,481.7436,0.9846294669086006,4.318879070925932,31,false,0.25254133,1.1549411045541174,0.049294879891348474,0.103290856,39,11,0.7626221,0,44,false,377,502.4324933798854,1.1753274366652395,427.483,18.93567,8,123.43919014854092,18.184659661987965,6.7880945,20.122755,7,1036.4600305044066,39.64974623818386,26.140394,17.223038,2.3085673,0,2.8997173,1.1870842,1.7126331,,,0,,,,NOT_AVAILABLE,204.1405999724861,34.130029815085344,127.86108517212178,3.433830468547412,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664909831331050624,,664909831331050624
7,6,1635721458409799680,Gaia DR2 664914164952043008,637469673,2015.5,131.135647591957,0.10186225502609812,21.683015536683477,0.0568438227616847,5.341454282965936,0.16560379638065917,32.254417,-37.12095866364089,0.21639362486911062,-14.459860851886695,0.1017124488344592,-0.5466985,-0.55331594,-0.34797254,0.4690538,0.67089915,0.63004947,-0.79119927,0.7996038,-0.48447698,-0.50771,336,0,333,3,6.727072,531.3069,0.2778633875986193,5.75523780732132,31,false,4.582678,1.2936697013982217,0.012720755775146864,0.09540375,38,11,0.23141284,0,42,false,371,6157.602492757718,8.350439470481184,737.3986,16.214836,42,1137.493742709616,9.859820805463922,115.36658,17.711515,42,8029.0895391137055,32.14000205623962,249.81609,15.000255,1.488661,0,2.7112608,1.4966793,1.2145815,,,0,,,,NOT_AVAILABLE,204.03546021009686,34.07293633251382,127.76482518320343,3.473915962119915,100001,3970.53,3525.255,4275.44,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664914164952043008,,664914164952043008
8,7,1635721458409799680,Gaia DR2 665212510560536960,451372770,2015.5,129.8386343801788,0.09556812672234823,22.088967272126897,0.05798910551325844,5.369988983883467,0.12810655692221623,41.918144,-36.58074076250864,0.19257012981500296,-14.37338165683903,0.1276554028615434,-0.40855503,-0.13376553,-0.101978354,0.3461726,0.13418469,0.2843379,-0.24034846,0.49199298,-0.46837994,-0.2913664,228,0,228,0,4.3308396,326.67505,0.32118783058320427,3.1435183537798337,31,false,2.425846,1.3270931706851037,0.015790681745163966,0.021005845,26,11,0.18745278,0,33,false,286,3365.0544817968753,3.130782182941563,1074.8287,16.870886,28,582.4410528380525,10.13175640039954,57.486683,18.43826,29,4459.871006199674,18.567195989893307,240.20164,15.638615,1.498434,0,2.7996445,1.5673733,1.2322712,,,0,,,,NOT_AVAILABLE,203.10754104941148,33.06519831298268,126.49485684070629,3.5546281087386777,100001,3680.0667,3198.0,4162.98,0.4505,0.4199,0.7068,0.259,0.172,0.3186,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=665212510560536960,,665212510560536960
9,8,1635721458409799680,Gaia DR2 665004702861616256,808383652,2015.5,131.36626481121152,0.05680642774557782,21.65353004826067,0.03208742776733267,5.236533849889874,0.0779136638207377,67.20944,-35.1976923678807,0.11650005636502722,-13.88776400478475,0.05868873824569574,-0.1613086,-0.28986424,-0.25087154,0.09490969,-0.016697364,0.0026747554,-0.41050705,0.63724893,-0.25810197,-0.27526006,151,151,148,3,8.6594095,343.9243,0.0,0.0,31,true,248.20636,1.642801355736907,0.012635357650135912,0.04758663,17,11,0.06969675,0,21,true,181,1295768.2710840486,915.0392697581075,1416.0795,10.407047,19,729579.8374021132,793.9082325347255,918.97253,10.6937065,20,817137.7349458883,828.5652392917124,986.20807,9.981182,1.1936684,0,0.7125244,0.28665924,0.42586517,34.380631412379,0.4333793564155263,6,5500.0,3.5,0.0,NOT_AVAILABLE,204.15293559438751,34.26621274968658,127.97976094005112,3.5017825240406766,100001,6048.0,6013.0,6212.6636,0.201,0.0439,0.315,0.0867,0.0089,0.1501,200111,1.2364011,1.1717292,1.2508364,1.8427252,1.8084514,1.8769989,http://geadata.esac.esa.int/data-server/datalink/links?ID=665004702861616256,,665004702861616256
10,9,1635721458409799680,Gaia DR2 664974015320042752,794163064,2015.5,130.5840689307125,0.2601085481279039,21.74543291104784,0.12953082648092584,5.64345609532986,0.3058223820716927,18.453379,-38.448064359009294,0.4686254182285832,-14.504470223429323,0.27499266259497773,-0.10816616,-0.32857537,-0.18298352,-0.057535518,0.21693993,0.14192493,-0.5863634,0.3984856,0.013149934,-0.1916039,372,0,369,3,2.4837217,434.4606,0.5050033189220725,1.19521480810803,31,false,0.31890163,1.233850741015267,0.04227903583947382,0.08525086,43,10,0.43258473,0,50,false,429,569.8356507434956,0.9776708267216303,582.8502,18.798992,41,88.5940907740603,6.481633859052447,13.668481,20.482876,43,874.8427199364633,6.290842088843221,139.06607,17.407095,1.6907275,0,3.0757809,1.6838837,1.3918972,,,0,,,,NOT_AVAILABLE,203.7645195768723,33.608343120513204,127.2529133751994,3.400582965894308,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664974015320042752,,664974015320042752
11,10,1635721458409799680,Gaia DR2 664989722016905728,1570045719,2015.5,131.45263357438907,0.07760486218205251,21.53234486050367,0.04453002582336856,5.411465266664574,0.09828185448422816,55.060677,-39.245463191729016,0.15278586242888628,-14.305628090172846,0.09029814033404213,-0.30030295,-0.26068538,-0.21962096,0.2004559,0.29542863,0.29833826,-0.64099705,0.5347544,-0.1743805,-0.31074587,325,0,325,0,7.4068637,545.38275,0.30610321337901525,5.897849044920704,31,false,3.686703,1.268644302830289,0.013897072520379593,0.075483285,37,14,0.15030819,0,43,false,379,5123.972027757792,4.351498799958685,1177.5189,16.414349,38,904.7673062872261,6.34581269248942,142.57706,17.960047,36,6766.37437942146,15.899120302647272,425.5817,15.18603,1.4971085,1,2.7740164,1.5456982,1.2283182,,,0,,,,NOT_AVAILABLE,204.32316966926982,34.302969823372884,128.08936998300274,3.406050516742553,100002,4065.55,3727.3933,4374.4033,0.7475,0.3219,0.9991,0.441,0.15,0.562,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664989722016905728,,664989722016905728
12,11,1635721458409799680,Gaia DR2 665129291274350976,1023339599,2015.5,130.15080951408973,0.04462626019627995,21.561656990105504,0.025361129401970803,5.359579189347476,0.05491876169920949,97.59104,-36.082837424628764,0.08203837211970001,-13.67120943857287,0.0498338291849797,-0.3039307,-0.511174,-0.42878005,0.40520164,0.05495685,0.21378297,-0.36768445,0.57438993,-0.40980917,-0.38805154,231,231,225,6,4.8991127,338.70633,0.0,0.0,31,true,368.4361,1.5861680586422646,0.00940523166875981,0.036713496,26,11,0.05579377,0,34,true,288,456472.12150142266,249.97327398074987,1826.0837,11.53983,31,232101.85592684522,287.27789912568977,807.93494,11.937192,32,317634.2386658409,309.2138450387536,1027.2316,11.007102,1.2043147,0,0.93008995,0.39736176,0.5327282,35.42443814046792,1.1630185455651842,7,5500.0,5.0,0.25,NOT_AVAILABLE,203.815422116408,33.16775003686298,126.91073682675453,3.1191177104032355,100001,5355.7,5248.25,5571.6665,0.045,0.017,0.1857,0.021,0.0079,0.0827,200111,0.9381778,0.866857,0.9769867,0.6524242,0.64344203,0.6614064,http://geadata.esac.esa.int/data-server/datalink/links?ID=665129291274350976,,665129291274350976
13,12,1635721458409799680,Gaia DR2 665190039291682560,1692400908,2015.5,130.53254926276537,0.11281134698591878,22.184693839280726,0.05632908473413737,5.571283609524704,0.1197833164404627,46.51135,-38.03443340411385,0.2080513045800332,-15.24900972488063,0.11832808376721263,-0.15330759,-0.103804655,-0.14575437,0.15381174,0.13562225,0.23175155,-0.71633184,0.34792206,-9.201285E-4,-0.2074314,321,0,317,4,4.113492,425.6278,0.31225692245598824,3.664021714478921,31,false,2.498008,1.3020056643827678,0.014492160894761722,0.14150192,37,10,0.1928266,0,43,false,368,3411.320450392825,2.4214572003139256,1408.7882,16.85606,36,599.2413081860719,6.567668363427932,91.241104,18.407383,39,4534.186745388194,8.347518732283314,543.1778,15.620671,1.5048214,0,2.7867117,1.5513229,1.2353888,,,0,,,,NOT_AVAILABLE,203.2464404279715,33.704617824661156,127.09261055048565,3.8124541451570315,100001,4049.0535,3668.907,4474.58,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=665190039291682560,,665190039291682560
14,13,1635721458409799680,Gaia DR2 664991817960938112,1007100005,2015.5,131.53810113277453,0.10538040040870601,21.60796789527673,0.059727200835048795,5.6650395111217176,0.12702742261036676,44.59698,-41.068636859231674,0.20804159223191762,-15.312377659208252,0.12081051455773148,-0.14720725,-0.074358694,-0.092098914,0.11930859,0.12868206,0.16195188,-0.5585833,0.51736856,-0.11137075,-0.1852925,319,0,319,0,6.383634,501.7667,0.4347771585423007,5.143543295965025,31,false,1.617942,1.2453390534755067,0.018980000750344353,0.10872591,36,14,0.1950474,0,42,false,372,2355.576462632855,2.209422128654439,1066.1505,17.258123,34,366.8725964957295,7.122013524468534,51.51248,18.9401,37,3298.1679745552583,9.199794868115406,358.50452,15.966238,1.5558996,0,2.9738617,1.6819763,1.2918854,,,0,,,,NOT_AVAILABLE,204.26766613060758,34.4026520370153,128.14616795256183,3.4999757041962303,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664991817960938112,,664991817960938112
15,14,1635721458409799680,Gaia DR2 666354800062502784,991754384,2015.5,128.35941079974805,0.07264207599906848,23.520007955468582,0.04831508514319429,5.587591793771013,0.09405584438024595,59.407173,-35.33183363628543,0.15466944878887412,-15.919563434537203,0.10760050251404192,-0.49761632,0.12725395,0.17660253,-0.09137587,-0.12678419,-0.12099585,0.26628298,0.46431336,-0.26025897,-0.50117713,236,0,234,2,8.518067,462.87808,0.35456167403244543,8.978485721165567,31,true,3.9528477,1.3320142464813773,0.012986980387788921,-0.054849885,27,12,0.15652698,0,32,false,281,7179.783947678213,6.55114803735203,1095.9581,16.048088,30,1369.1932312725294,14.962356092343024,91.5092,17.510227,29,9107.114917281006,25.33140288153469,359.51877,14.863468,1.4591397,0,2.646759,1.4621391,1.1846199,,,0,,,,NOT_AVAILABLE,200.98104440026444,32.22775976585987,124.81095280632087,4.596732326413694,100001,3915.1274,3537.0,4091.05,0.715,0.6483,1.1261,0.4085,0.3572,0.626,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=666354800062502784,,666354800062502784
16,15,1635721458409799680,Gaia DR2 686066363488497408,1003503467,2015.5,132.8200820629231,0.11700488741153312,22.235129913171402,0.0724836163975232,5.320578700198428,0.14525399030997568,36.629482,-39.001649272926215,0.24061929099817195,-14.964488551317961,0.17010846991289,-0.44648138,-0.09327869,-0.091815755,0.23732154,0.048627615,0.31710932,-0.58124584,0.31831232,0.093104884,-0.4951665,299,0,299,0,1.1822901,322.9008,0.0,0.0,31,false,1.4864335,1.250112648399186,0.021235336708650944,0.0027282205,34,13,0.23709129,0,39,false,341,1621.8181186827505,1.977489232624102,820.1401,17.66336,31,237.3832260468918,6.590971078703396,36.016426,19.412764,29,2284.2650538324815,8.49382941434565,268.9323,16.365053,1.554828,0,3.0477104,1.749403,1.2983074,,,0,,,,NOT_AVAILABLE,204.0032576616641,35.729633413924006,129.12647851775972,4.4226395965143075,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=686066363488497408,,686066363488497408
17,16,1635721458409799680,Gaia DR2 664337230586013312,672933698,2015.5,129.60108630074123,0.055732865596068513,20.106007385176248,0.03185475380254375,5.26448239605576,0.0678256670024561,77.61785,-36.144153081465326,0.10815074596611385,-13.014038371245267,0.06118361074974975,-0.41832632,-0.6299787,-0.6817054,0.3881355,0.31350753,0.33902037,-0.507533,0.7408083,-0.43256676,-0.4770879,189,189,180,9,8.637504,390.29443,0.0,0.0,31,true,328.29483,1.6184891314616312,0.010896390729594066,0.021231689,21,10,0.07347759,0,31,false,250,1297876.5276853233,485.16977683423886,2675.0977,10.405282,28,716840.8009514164,920.156007063647,779.04266,10.7128315,28,828573.1787564701,608.5248335954831,1361.6095,9.966093,1.190725,0,0.74673843,0.30754948,0.43918896,34.78405784405402,0.6403243291093629,5,6250.0,4.5,0.25,NOT_AVAILABLE,205.23993025190478,32.19543527567107,126.78543130754916,1.580549894791221,100001,5953.25,5829.9,6163.2,0.298,0.1626,0.424,0.143,0.0866,0.1851,200111,1.2726085,1.1873822,1.3270304,1.8327401,1.8024668,1.8630134,http://geadata.esac.esa.int/data-server/datalink/links?ID=664337230586013312,,664337230586013312
18,17,1635721458409799680,Gaia DR2 664518856162322304,184196251,2015.5,129.728017544743,0.24083748717319223,20.787972159891236,0.14511404395484856,5.498813828623271,0.31360347699805247,17.534288,-36.57004754210749,0.45119984712954436,-14.200415219832685,0.283176722037042,-0.20741731,-0.35225552,-0.11865278,0.20737791,-0.08113269,0.05663829,-0.25883493,0.5078303,-0.2928542,-0.36295882,155,0,154,1,3.1801126,210.07599,0.6580587423035723,2.2595887543155877,31,false,0.50782263,1.2529416765220605,0.044296829660673706,0.03415887,18,10,0.43475726,0,24,false,202,881.4699817944713,1.63044067512692,540.633,18.325346,19,141.9861281786207,17.91241684484073,7.9266872,19.970774,19,1323.13116555549,10.495795741372579,126.062965,16.957912,1.6621295,0,3.0128613,1.6454277,1.3674335,,,0,,,,NOT_AVAILABLE,204.52842756522526,32.5390520425322,126.72718130705276,2.2703555428371214,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664518856162322304,,664518856162322304
19,18,1635721458409799680,Gaia DR2 664455118847781760,1237355236,2015.5,130.0932251313692,0.029070552519225763,20.640806391293975,0.01830926970619871,5.5285577380620765,0.03872515662509116,142.76399,-36.696880762629505,0.05941611499248016,-13.411663430947332,0.04075374187115516,-0.26423624,-0.300127,-0.11973508,-0.023193868,0.040872023,0.021704104,-0.12339935,0.53486747,-0.065042086,-0.4031816,204,9,204,0,-0.42909116,189.91487,0.0,0.0,31,false,49.81307,1.409663666740185,0.006521463791732753,-0.006676054,23,10,0.06372849,0,29,false,256,39192.79246752284,21.919712968218064,1788.0157,14.20535,27,12418.751544515719,49.650523966354115,250.12328,15.116194,27,39584.54479509091,75.02619033664358,527.6097,13.2681055,1.3268586,0,1.8480883,0.91084385,0.9372444,,,0,,,,NOT_AVAILABLE,204.82966459099336,32.81117803091596,127.09531948534865,2.2153170467365517,100001,3962.0,3900.0,4259.887,0.5983,0.3359,0.858,0.2865,0.1304,0.42,200111,0.6244486,0.5401687,0.6444606,0.08656572,0.08521158,0.08791985,http://geadata.esac.esa.int/data-server/datalink/links?ID=664455118847781760,,664455118847781760
20,19,1635721458409799680,Gaia DR2 664461578478588672,889480842,2015.5,130.32271372345787,0.11030505680018794,20.542446394038336,0.06132926231479774,5.3529937557929355,0.14304964741095627,37.420532,-36.76367082559861,0.2090026249976156,-13.043965870824032,0.11875853249039196,-0.40292126,-0.42599356,-0.35771978,0.30332902,0.21789096,0.2984103,-0.54457945,0.6005117,-0.25597706,-0.41820872,291,0,286,5,4.6473784,405.34756,0.3542769065395244,3.7023665000008816,31,false,1.926219,1.269344267616444,0.017604887296151707,0.012282275,33,12,0.21202335,0,38,false,331,2745.0591646419903,3.8719749785774096,708.9558,17.091986,33,449.627196467441,7.712508671949828,58.298435,18.719257,35,3752.603607625646,10.689592435897577,351.05206,15.826088,1.5308343,0,2.8931694,1.6272717,1.2658978,,,0,,,,NOT_AVAILABLE,205.02619871724514,32.98027276854706,127.32837921376893,2.175466261223166,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664461578478588672,,664461578478588672
21,20,1635721458409799680,Gaia DR2 664437320503310336,1229259398,2015.5,130.27198826437743,0.029219261113023018,20.47342034334239,0.01700355340503521,5.231505120538271,0.033783684192221754,154.85301,-35.98680344522009,0.05822674139048222,-13.414680423300911,0.032394813947015606,-0.2083282,-0.1698121,-0.33644095,0.0939869,-0.0013685507,0.06374306,-0.4447723,0.43416104,-0.15545785,-0.25148788,256,0,255,1,-1.0206186,227.23953,0.0,0.0,31,false,39.279224,1.4039451124596976,0.005358804952413607,0.04107132,29,12,0.063952126,0,32,false,279,32194.62277103643,11.928139866188015,2699.048,14.418907,30,9941.951386557934,25.59275088858,388.46747,15.357709,29,33114.56414234557,55.0165140793313,601.9023,13.461872,1.3373822,0,1.8958368,0.93880177,0.95703506,,,0,,,,NOT_AVAILABLE,205.0844993219978,32.9122416953295,127.3002206783039,2.0965355498462523,100001,4234.23,3889.0,4501.6133,0.5455,0.1473,0.955,0.286,0.1174,0.473,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664437320503310336,,664437320503310336
22,21,1635721458409799680,Gaia DR2 664437561021480192,523415853,2015.5,130.2394674732857,0.2115213191927243,20.47811631660676,0.12049253465509552,5.492787579584604,0.26195541350657753,20.968407,-36.65979125390569,0.40056217959459206,-12.187865572011614,0.24079976652786947,-0.15583356,-0.2961697,-0.1383841,-0.043795463,0.04978792,-2.417554E-4,-0.26428816,0.48164612,-0.124020964,-0.31807747,216,0,216,0,1.3038694,238.21074,0.3600246383852163,0.6863340228650439,31,false,0.4824923,1.1900031929613537,0.04122195879439434,0.024359563,25,10,0.3766934,0,29,false,251,792.7802678386181,1.706360327713395,464.6031,18.440483,27,125.02700567559774,7.383222317709271,16.933935,20.10888,26,1178.9766476141783,11.190425865625981,105.355835,17.083157,1.6448488,0,3.0257225,1.668396,1.3573265,,,0,,,,NOT_AVAILABLE,205.06696615707094,32.88515816486994,127.26955123086547,2.093237157898615,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664437561021480192,,664437561021480192
23,22,1635721458409799680,Gaia DR2 664339910645611776,4946657,2015.5,129.47721072039087,0.06645580372815124,20.136687966522484,0.033067142644970494,5.398825670096695,0.09984051440858296,54.074497,-34.53632174453396,0.13080243076414783,-14.506886474401522,0.06866690511214381,-0.37074414,-0.64161915,-0.49502173,0.4729275,0.24592339,0.27614918,-0.32259578,0.7576133,-0.5573819,-0.49688107,139,0,139,0,2.7384067,183.1923,0.1281080771019593,1.7792180403449636,31,false,15.366717,1.3336091985123495,0.012711732056051167,0.011599866,16,9,0.14367707,0,24,false,192,16404.225039235593,8.752750952832136,1874.1793,15.150976,22,4202.4154694452445,23.80461440670262,176.53786,16.29264,22,18662.659542138084,30.274606117636136,616.446,14.084486,1.3938528,0,2.2081547,1.1416645,1.0664902,,,0,,,,NOT_AVAILABLE,205.15873354503148,32.09672318078906,126.66509243872805,1.580764423601888,100001,3845.5999,3541.6667,4587.1953,0.6048,0.357,0.8975,0.3092,0.1666,0.4276,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664339910645611776,,664339910645611776
24,23,1635721458409799680,Gaia DR2 664437286143573760,1236664,2015.5,130.26076024738802,0.03608646423318979,20.457651294278513,0.02256956577763755,5.348402729577359,0.04429790236332513,120.73715,-36.72017048511211,0.07200961335446338,-14.285835001004418,0.043664075617649824,-0.27122414,-0.24013463,-0.29256052,0.0858103,-0.031124054,0.059771784,-0.46461996,0.46087134,-0.081443764,-0.31216264,266,266,265,1,3.7630205,354.7757,0.0,0.0,31,true,345.23273,1.5450652135129976,0.007173066239730891,-0.01998209,30,12,0.04809211,0,34,true,299,274284.23425555206,167.92038622420907,1633.4183,12.092864,33,129742.94098749665,326.65263953017154,397.18933,12.568679,32,205476.72043145393,381.8617911382666,538.09186,11.480014,1.2221617,1,1.088665,0.47581482,0.6128502,35.16187061207888,0.8582481462060505,13,5500.0,4.5,0.0,NOT_AVAILABLE,205.09793682214095,32.897008828401724,127.29410829121002,2.078590979446397,100002,5014.3765,4894.0,5119.785,0.1785,0.0909,0.3304,0.1017,0.0486,0.176,200111,0.8554802,0.82061666,0.8980818,0.41685244,0.41194475,0.42176014,http://geadata.esac.esa.int/data-server/datalink/links?ID=664437286143573760,,664437286143573760
