praesepe_oid,col1,solution_id,designation,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,source_id
396,395,1635721458409799680,Gaia DR2 661121949347800064,106501802,2015.5,131.18652430320657,0.14582601646160098,19.406088593977255,0.09911318389381131,5.182639918569478,0.21565210956738828,24.03241,-36.956247724632505,0.3238966263695669,-11.847853039119174,0.18801562871827196,-0.54897016,-0.33911893,-0.2946874,0.45608267,0.5319215,0.5539477,-0.73077244,0.7131325,-0.3795032,-0.50612193,390,0,389,1,40.878227,2993.4158,0.9529193600990455,78.68022139046934,31,false,0.9400609,1.2050481125997587,0.022224440210003228,0.029594574,44,13,0.3347121,0,46,false,407,6613.255407423116,5.809730177505625,1138.3068,16.137327,37,1178.7900448618584,10.201349857788536,115.55236,17.672796,38,8761.269374954385,15.382843222141924,569.5481,14.905502,1.5030509,0,2.767294,1.535469,1.2318249,,,0,,,,NOT_AVAILABLE,206.6336121149293,33.35441439158065,128.40806257916057,1.2890416161913292,100001,4104.885,3529.28,4675.263,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=661121949347800064,,661121949347800064
397,396,1635721458409799680,Gaia DR2 660996295784743680,358180309,2015.5,130.2319974861267,0.11612841253673999,18.826117360793152,0.07426954797699117,5.090673343382232,0.16700367096626045,30.482405,-36.79680960989724,0.24620931791810152,-11.701258049222053,0.14067254748225105,-0.49966866,-0.36262575,-0.13404578,0.3432601,0.41584632,0.37839925,-0.45714644,0.65880376,-0.37184575,-0.43542904,236,0,235,1,2.620517,290.1272,0.24480514450724472,1.2495021909970578,31,false,1.8201588,1.2892324527722978,0.019634991275938124,-0.065613255,27,12,0.24685887,0,29,true,249,2179.494783891304,2.25935647529218,964.6529,17.342476,26,382.2047389211252,11.979290754184962,31.905457,18.895647,25,2973.5124099526142,14.506687625976353,204.97528,16.078745,1.5396767,0,2.8169022,1.5531712,1.263731,,,0,,,,NOT_AVAILABLE,206.90360987222093,32.30641882159102,127.68745600397418,0.49492365665017374,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=660996295784743680,,660996295784743680
398,397,1635721458409799680,Gaia DR2 661004713920630656,1047977782,2015.5,130.33459003955474,0.10935121550278969,18.961847935239568,0.07831757717424868,5.529234962939007,0.13338441488510422,41.45338,-35.46798688119975,0.23226716763377953,-13.189418071878706,0.14776173887740457,-0.6750417,-0.3728807,-0.48862273,0.6475665,0.51651347,0.65402603,-0.83369267,0.7118218,-0.46891013,-0.6261399,337,0,337,0,1.7414272,378.19788,0.0,0.0,31,false,2.5476816,1.3094073049930683,0.013291504462964086,0.029200602,38,12,0.25456512,0,42,false,373,2718.3876300968104,2.7463421704138873,989.82117,17.102587,39,441.3831023063716,8.634863513484301,51.116394,18.73935,37,3715.8814917090417,13.665055494936357,271.9258,15.836765,1.5293126,0,2.902584,1.6367626,1.2658215,,,0,,,,VARIABLE,206.79392878297506,32.445212748892814,127.74634798532134,0.6510532246001142,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=661004713920630656,http://geadata.esac.esa.int/data-server/data?RETRIEVAL_TYPE=epoch_photometry&ID=661004713920630656,661004713920630656
399,398,1635721458409799680,Gaia DR2 661005538554352000,421282887,2015.5,130.30785693865008,0.06877785053880554,18.96908700696679,0.05110425621043322,5.625249879414562,0.09638199276344533,58.364117,-36.19730979975512,0.1551128463068384,-13.433040563218889,0.09477280345355554,-0.6166637,-0.34379956,-0.39058152,0.5714436,0.49829513,0.6073495,-0.7922802,0.7471262,-0.4523937,-0.59541106,308,0,308,0,12.342952,718.54333,0.3268548420864195,14.205594082347385,31,false,5.846953,1.316576526034991,0.009823974784691403,-0.009097875,35,12,0.16906482,0,40,false,336,14257.382605997396,6.674725616106646,2136.0254,15.303267,33,3113.1957247534906,8.381054398489798,371.45633,16.618372,36,17418.134557327357,22.88081108292292,761.2551,14.159416,1.440049,0,2.4589558,1.3151054,1.1438503,,,0,,,,NOT_AVAILABLE,206.77533270882162,32.42411203804365,127.72005293591099,0.6515406234876794,100001,3544.0,3345.0,4165.5737,,,,,,,200111,0.53542227,0.38755578,0.60102373,0.040743887,0.03930407,0.042183705,http://geadata.esac.esa.int/data-server/datalink/links?ID=661005538554352000,,661005538554352000
400,399,1635721458409799680,Gaia DR2 661319547906688896,12570878,2015.5,130.22847327084418,0.03478044276702791,19.935117077938127,0.02227639320603053,5.509029390621481,0.04384651843997408,125.643486,-37.03125785675672,0.07242976438222198,-14.086372956682562,0.04524948233680665,-0.24145599,-0.093591586,-0.2414068,0.117592044,0.085858695,0.13815568,-0.37570456,0.52180564,-0.15200154,-0.28679642,246,246,244,2,1.5177612,273.0134,0.0,1.825132184955963E-15,31,true,366.81442,1.5684243403896105,0.00705980256244148,0.018818285,28,13,0.04847085,0,33,false,254,334580.83107512083,188.14012890403026,1778.3597,11.877113,24,161628.8269488196,428.3814929548386,377.30115,12.330091,25,244244.9035639763,445.98160695572045,547.6569,11.2923565,1.2130812,0,1.037735,0.45297813,0.58475685,36.159139816600785,0.7640448394817443,10,5000.0,3.0,0.0,NOT_AVAILABLE,205.67000218568447,32.69036163389439,127.39923057647752,1.5658329951704786,100001,5179.87,5083.7,5300.215,0.07,0.0,0.3148,0.0467,0.0,0.1431,200111,0.84627444,0.80828035,0.87859577,0.46450743,0.45923778,0.46977708,http://geadata.esac.esa.int/data-server/datalink/links?ID=661319547906688896,,661319547906688896
401,400,1635721458409799680,Gaia DR2 661001243587055616,165675017,2015.5,130.40241292923105,0.08829387626504737,18.90423915761972,0.058566834719639076,5.33747025937005,0.11319934319824448,47.15107,-36.46065394062853,0.18108766721132016,-11.99985242297627,0.11042487159952648,-0.679804,-0.526358,-0.5363844,0.64678925,0.5655595,0.66113615,-0.85659647,0.76621896,-0.5094812,-0.63720745,372,0,372,0,6.819083,583.5707,0.2613169845218948,5.142059222376436,31,true,4.6236653,1.2888291664225857,0.010136338730593962,0.04825272,42,12,0.20280917,0,46,false,407,6293.310478994601,3.8777959015713432,1622.9092,16.191168,44,1161.3027219868802,7.80773879851404,148.7374,17.689024,44,8207.69899403757,15.278163217785181,537.21765,14.976366,1.4887239,0,2.712658,1.4978561,1.2148018,,,0,,,,NOT_AVAILABLE,206.8846598214285,32.48489043204621,127.82318343814961,0.6119190856969396,100001,3970.53,3526.1667,4358.52,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=661001243587055616,,661001243587055616
402,401,1635721458409799680,Gaia DR2 661243307945543936,781781892,2015.5,130.10625269727572,0.041902404196395855,19.475708151881754,0.03411901792630729,5.359693205522584,0.05580438666511829,96.0443,-35.899211347469596,0.08754822750581429,-12.154936259762604,0.06235359028185569,-0.53969264,-0.08911668,-0.28528094,0.38930815,0.04102438,0.28788185,-0.51143664,0.6317783,-0.2587122,-0.47618765,210,210,207,3,9.679299,464.53226,0.0,0.0,31,true,234.0254,1.6475116331874788,0.008158724341907645,-0.09673004,24,12,0.059761617,0,29,false,238,2391240.33719959,478.7625171444363,4994.6274,9.741808,28,1391242.5467825003,1214.075934064644,1145.9271,9.992881,27,1432421.9317305132,1161.713648559305,1233.025,9.371742,1.1808368,0,0.6211386,0.25107288,0.3700657,35.89461713789584,0.761051068585785,6,6000.0,3.5,0.0,NOT_AVAILABLE,206.13417369867966,32.42346154455634,127.40592845227566,1.0922813504878466,100001,6337.788,6269.6177,6434.4,0.29,0.1696,0.4736,0.1517,0.0936,0.2598,200111,1.4894471,1.4450551,1.5220131,3.2247474,3.1798384,3.2696564,http://geadata.esac.esa.int/data-server/datalink/links?ID=661243307945543936,,661243307945543936
403,402,1635721458409799680,Gaia DR2 661314638762274176,879639297,2015.5,129.94595434826866,0.04919639708596638,19.827566364728405,0.037784534965715044,5.309568163430908,0.07476812288997789,71.013794,-35.215949765071876,0.10560992476943473,-13.205086697987703,0.06203384815151466,-0.4851371,-0.072948,-0.3437004,0.3234672,-0.20788366,0.06100654,-0.3891569,0.7071331,-0.30649725,-0.4560465,170,170,170,0,-0.6529795,152.7858,0.0,0.0,31,true,284.35532,1.5223531484559107,0.011648441833729775,-0.07105843,19,11,0.066776276,0,24,false,214,196988.6865050982,104.28624564901676,1888.923,12.452263,23,89559.4939043509,154.46439468661632,579.8067,12.971109,22,153082.38854121318,196.90963670807076,777.42456,11.799607,1.2317554,1,1.1715021,0.5188465,0.6526556,37.182915432479646,2.342113099514863,6,5500.0,4.5,0.0,NOT_AVAILABLE,205.68122970335526,32.40389407533818,127.16990171603909,1.3937963099334685,100002,4959.7397,4897.0,5075.87,0.2523,0.1274,0.3231,0.1205,0.0612,0.1571,200111,0.7509602,0.71699095,0.77032584,0.3074426,0.30199265,0.31289256,http://geadata.esac.esa.int/data-server/datalink/links?ID=661314638762274176,,661314638762274176
404,403,1635721458409799680,Gaia DR2 661311752544249088,1519504798,2015.5,130.00243901427,0.04909116802177918,19.806500642625636,0.03529471618925969,5.323505300857155,0.06683477712335878,79.651726,-35.80686288074446,0.10350123197690003,-12.353624032576196,0.0627851291733971,-0.5345603,-0.08374145,-0.3600451,0.3972315,0.041739967,0.31193858,-0.4667766,0.6515263,-0.30714855,-0.5051483,195,195,185,10,9.13238,413.65988,0.0,0.0,31,true,323.76953,1.6424045518419454,0.009747801726614462,-0.04164499,23,12,0.06705327,0,29,false,240,1623246.7376909996,1468.993555430145,1105.006,10.162404,29,922665.615775561,1390.4618829928477,663.5677,10.438777,28,998935.0077927202,1213.1358888328846,823.43207,9.763077,1.1838007,0,0.6757002,0.2763729,0.39932728,,,0,,,,NOT_AVAILABLE,205.72638954117136,32.4464912965532,127.22667748627474,1.3870142503013112,100001,6162.3335,6043.267,6291.0,0.1405,0.026,0.3046,0.0645,0.0137,0.1463,200111,1.3090199,1.2560221,1.3611095,2.2262197,2.1902328,2.2622066,http://geadata.esac.esa.int/data-server/datalink/links?ID=661311752544249088,,661311752544249088
405,404,1635721458409799680,Gaia DR2 661204167906246784,965122790,2015.5,129.91502045074697,0.19750705978343858,19.11556595861815,0.12065311912884655,5.199467871071986,0.2787939479501413,18.649858,-37.085267331888765,0.39909475092582375,-12.967759921527952,0.22955556989044115,-0.4090923,-0.48272106,-0.37432045,0.36079288,0.37284416,0.36055574,-0.37369677,0.6667102,-0.46823838,-0.4709632,212,0,212,0,2.5454705,262.45062,0.34962684326614707,0.7943382654725105,31,false,0.61611694,1.1937209199181398,0.03543872219503023,-0.07477423,24,11,0.4106432,0,28,false,245,921.2992902386303,1.856101393840066,496.36258,18.277365,25,133.99727665441284,9.320992013149695,14.37586,20.033648,24,1365.2596618320508,10.100194197519437,135.17163,16.923882,1.6273289,0,3.109766,1.7562828,1.3534832,,,0,,,,NOT_AVAILABLE,206.4583683184972,32.128254443577916,127.32354741473074,0.6979541600686672,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=661204167906246784,,661204167906246784
