,[RSP2011],HIP,RAJ2000,DEJ2000,2MASS,EPIC,Kpmag,Mass,Bin,Ap,lc,IPer,IPw,I99.9,Q,mPer,use,K2Per,K2Pw,Amp,Ng,Bl,Lit,bp,gmag,kepmag,kepmag_err,parallax,parallax_err,rp,prot
21,  127,     ,04 04 10.7,+15 48 21.8,04041073+1548219,210523892,16.65,    0.13,2,3.0,det,0.2967,0.0975,0.0095,1,N,corr,    0.2967,    0.2666,0.008919,Y,N,1,18.531172,16.303532,16.65,999999,21.77877577899813,0.14651080175203712,14.924991,0.2967
22,  128,     ,04 04 12.8,+18 59 44.5,04041279+1859445,210742592,15.29,    0.18,0,3.0,det,0.8037,0.3163,0.0086,0,N,corr,    0.8037,    0.3427,0.002513,Y,N,0,16.853493,15.069968,15.294,999999,18.721315967172078,0.10673722665471291,13.785378,0.8037
23,  133,19082,04 05 25.6,+19 26 32.0,04052565+1926316,210771915,10.9,    0.94,1,4.0,raw,13.914,0.5326,0.0094,0,N,corr,   13.8499,    0.6036,0.004843999999999999,Y,N,1,11.653789,10.833858,10.899,999999,21.14350053934295,0.051652817968369236,9.98305,13.8499
24,  138,     ,04 06 20.6,+19 01 38.9,04062060+1901391,210744677,13.63,    0.22,0,2.5,det,0.4812,0.2485,0.009,1,N,corr,    0.4812,    0.5901,0.0081875,Y,N,0,16.344997,14.523818,13.631,999999,18.724926526539726,0.1037928124846333,13.236041,0.4812
25,  141,     ,04 07 03.2,+20 16 50.9,04070323+2016510,210827030,13.81,    0.16,0,4.0,det,0.5111,0.1617,0.0103,2,M,corr,          ,          ,0.007087,N,N,0,16.574472,14.685039,13.812,999999,30.105010861759727,0.0892102746310542,13.377324,0.0
26,  148,     ,04 08 36.2,+23 46 07.0,04083620+2346071,211049709,10.27,    0.90,0,6.0,det,9.3908,0.9522,0.0102,0,N,corr,    9.3908,    0.9553,0.0099945,Y,Y,0,9.671883,9.189675,10.273,999999,21.04548296917407,0.05501344730493487,8.580086,9.3908
27,  149,     ,04 08 40.1,+23 33 25.6,04084015+2333257,211036776,12.8,    0.59,2,4.5,raw,21.021,0.8941,0.0087,0,N,corr,   21.0210,    0.8984,0.009056999999999999,Y,Y,1,13.633654,12.558902,12.804,999999,21.699085550157875,0.08020245513097964,11.196775,21.021
28,  149,     ,04 08 40.1,+23 33 25.6,04084015+2333257,211036776,12.8,    0.59,2,4.5,raw,21.021,0.8941,0.0087,0,N,corr,   21.0210,    0.8984,0.009056999999999999,Y,Y,1,,12.627023,12.804,999999,21.930775797994947,0.09113757290183452,,21.021
29,     ,     ,04 11 06.4,+12 47 48.2,04110642+1247481,210371851,14.92,    0.14,0,5.0,raw,37.592,0.1587,0.0089,1,Y,sec ,    0.8968,    0.1551,0.00655,N,N,0,18.953999,16.54054,14.917,999999,23.04142845292586,0.12735972293840772,15.11915,0.8968
30,  161,19591,04 11 56.1,+23 38 11.2,04115620+2338108,211041649,9.25,    1.04,2,5.5,det,2.3094,0.2888,0.0104,0,N,corr,    2.3094,    0.5904,0.02429,Y,Y,1,9.638574,8.976489,9.254,999999,24.82226258094568,0.707019917991242,8.2068615,2.3094
31,  166,     ,04 12 47.3,+22 23 27.0,04124734+2223270,210963067,14.72,    0.24,0,2.0,det,1.8443,0.2541,0.0095,0,N,corr,    1.8443,    0.5698,0.0087525,Y,M,0,16.013325,14.386445,14.723,999999,17.968213235732144,0.47967025722178525,12.95883,1.8443
32,  169,     ,04 13 05.6,+15 14 52.0,04130560+1514520,210490365,14.53,    0.20,2,3.0,det,22.7739,0.0598,0.0101,1,N,sec ,    1.8884,    0.0981,0.007250499999999999,Y,N,1,16.074886,14.381669,14.528,999999,22.21530339598677,0.08144225912074875,13.119987,1.8884
33,  170,     ,04 13 52.3,+15 21 54.0,04135234+1521538,210497173,13.69,    0.28,2,5.5,det,1.8489,0.6862,0.0081,0,Y,corr,    1.8489,    0.6944,0.0049195,Y,Y,1,15.416763,14.25657,13.69,999999,23.61720390699719,0.5733242569627771,12.494929,1.8489
34,  180,     ,04 14 50.2,+24 22 37.4,04145019+2422375,211088189,16.02,    0.16,0,2.0,raw,28.9101,0.064,0.0112,2,N,corr,          ,          ,0.3876735,Y,M,0,17.64269,15.742572,16.016,999999,19.7625096270045,0.08842447804751258,14.428964,0.0
35,  186,19862,04 15 33.6,+15 42 22.7,04153367+1542226,210517837,10.46,    0.65,2,5.0,raw,39.5726,0.3406,0.0096,2,N,corr,          ,          ,0.002006,N,N,0,11.190613,10.431786,10.462,999999,21.94141648546758,0.0689663457992422,9.615364,0.0
36,  197,     ,04 16 25.4,+14 10 17.1,04162538+1410172,210432080,14.09,    0.21,2,3.5,det,2.9001,0.0616,0.0092,1,M,sec ,    1.4486,    0.2788,0.005845,Y,N,1,15.584455,13.934874,14.087,999999,25.135412409623324,0.08153338587413471,12.696222,1.4486
37,     ,19981,04 17 06.8,+22 40 24.3,04170685+2240241,210980637,9.45,        ,2,5.0,raw,39.5726,0.5849,0.0096,0,N,corr,   49.3166,    0.9767,0.0028350000000000003,Y,Y,0,10.008151,9.308104,9.453,999999,30.939828972164655,0.04391991689823797,8.532918,49.3166
38,  202,     ,04 17 25.1,+19 01 47.3,04172512+1901478,210744818,10.37,    0.68,0,4.0,det,12.8433,0.1407,0.0117,1,N,corr,   12.8433,    0.4578,0.003904,Y,N,0,11.051074,10.348603,10.368,999999,20.895614329070764,0.07681649216579398,9.570608,12.8433
39,  203,     ,04 17 28.1,+14 54 03.8,04172811+1454038,210470484,13.33,    0.36,0,2.0,det,2.3883,0.1287,0.0096,1,N,corr,    2.3788,    0.4353,0.010794,Y,Y,0,14.70091,13.276046,13.33,999999,20.192264884167965,0.05278972737384675,12.105038,2.3788
40,  207,     ,04 17 47.6,+13 39 42.3,04174767+1339422,210408563,11.78,    0.60,2,5.0,det,8.6599,0.4059,0.0089,1,Y,corr,    8.6850,    0.4823,0.0013295,N,N,1,12.812274,11.770251,11.778,999999,21.074309101023143,0.05294255659835863,10.727225,8.685
41,  208,     ,04 17 50.6,+18 28 30.6,04175061+1828307,210707811,12.81,    0.49,2,4.0,det,22.4337,0.0659,0.0091,2,N,corr,          ,          ,0.056688499999999996,Y,N,0,14.219227,12.715638,12.806,999999,21.40793891632859,0.14122759650276068,11.520765,0.0
42,  209,     ,04 17 51.6,+15 13 37.7,04175160+1513378,210489127,14.35,    0.25,0,3.5,det,3.6463,0.4932,0.0086,0,N,corr,    3.6508,    0.6701,0.005407,Y,N,0,15.88909,14.246441,14.352,999999,21.00398356796783,0.06439491917846847,13.003492,3.6508
43,  210,     ,04 17 55.5,+14 32 46.5,04175555+1432464,210451321,13.86,    0.30,0,4.0,det,10.1182,0.7765,0.0085,0,N,corr,   10.1182,    0.8654,0.0095905,Y,N,0,15.280359,13.771758,13.862,999999,19.063231502443852,0.0738104395210779,12.565312,10.1182
